policy,subset,decision_cost,lambda,reward,cost,utility,counts
post_no_scout_choice,all,none,0,0.4405594405594406,0.012284033265734266,0.4405594405594406,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,5,0.4405594405594406,0.012284033265734266,0.37913927423076926,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,10,0.4405594405594406,0.012284033265734266,0.3177191079020979,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,15,0.4405594405594406,0.012284033265734266,0.2562989415734266,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,20,0.4405594405594406,0.012284033265734266,0.19487877524475525,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,25,0.4405594405594406,0.012284033265734266,0.1334586089160839,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,30,0.4405594405594406,0.012284033265734266,0.0720384425874126,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,35,0.4405594405594406,0.012284033265734266,0.010618276258741288,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,40,0.4405594405594406,0.012284033265734266,-0.05080189006993008,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,50,0.4405594405594406,0.012284033265734266,-0.17364222272727275,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,75,0.4405594405594406,0.012284033265734266,-0.4807430543706294,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,100,0.4405594405594406,0.012284033265734266,-0.787843886013986,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,150,0.4405594405594406,0.012284033265734266,-1.4020455493006994,"{""120B"": 208, ""20B"": 78}"
post_no_scout_choice,all,none,200,0.4405594405594406,0.012284033265734266,-2.016247212587413,"{""120B"": 208, ""20B"": 78}"
input_no_scout_choice,all,none,0,0.47202797202797203,0.013906351258741255,0.47202797202797203,"{""120B"": 286}"
