lambda,best_always_policy,best_always_utility,cascade_utility,fixed_q_utility,predicted_q_utility,oracle_cost_q_utility,oracle_cost_minus_predicted,oracle_cost_minus_fixed,oracle_cost_q_minus_always,oracle_cost_q_minus_cascade
0.0,solver:openai/gpt-oss-120b,0.47202797202797203,0.44405594405594406,0.40559440559440557,0.40559440559440557,0.40559440559440557,0.0,0.0,-0.06643356643356646,-0.03846153846153849
5.0,solver:openai/gpt-oss-120b,0.40249621573426575,0.34523427304195803,0.3562943503146853,0.36136540573426573,0.3633171694755245,0.0019517637412587718,0.007022819160839189,-0.039179046258741246,0.018082896433566475
10.0,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.35880946013986015,0.31284616846153845,0.3283694946853147,0.3221457931818182,0.32826618143356645,0.0061203882517482655,-0.00010331325174822714,-0.030543278706293697,0.015420012972027997
15.0,solver:openai/gpt-oss-20b,0.34295199414335664,0.32859655265734267,0.3030347550174825,0.30153172716783216,0.3156431521678322,0.01411142500000001,0.01260839715034967,-0.027308841975524467,-0.012953400489510492
20.0,solver:openai/gpt-oss-20b,0.32789869615384615,0.31342011216783217,0.283868859020979,0.2930324721678322,0.3182414711888112,0.025208999020979006,0.03437261216783216,-0.00965722496503496,0.004821359020979021
25.0,solver:openai/gpt-oss-20b,0.31284539816433565,0.29824367167832166,0.28696700026223776,0.28999648312937065,0.32303348767482515,0.033037004545454496,0.03606648741258739,0.010188089510489495,0.024789815996503484
30.0,solver:openai/gpt-oss-20b,0.29779210017482516,0.28306723118881116,0.28925356139860137,0.29493345531468534,0.31878821055944057,0.02385475524475522,0.0295346491608392,0.020996110384615407,0.0357209793706294
35.0,solver:openai/gpt-oss-20b,0.28273880218531466,0.26789079069930066,0.30316662645104897,0.2924893482867133,0.3233924928321678,0.03090314454545451,0.02022586638111884,0.04065369064685315,0.05550170213286715
40.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2797364998601399,0.25271435020979016,0.2956026313286713,0.2927448525874126,0.3144511283916084,0.021706275804195763,0.018848497062937064,0.034714628531468505,0.06173677818181822
45.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2784273385664336,nan,0.2937985287237762,0.2937967419755245,0.3188004814160839,0.02500373944055939,0.025001952692307705,0.04037314284965032,nan
50.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.27711817727272725,0.22236146923076922,0.28836883583916084,0.29308861206293707,0.3198720041958042,0.026783392132867123,0.03150316835664335,0.04275382692307694,0.09751053496503498
55.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.27580901597902097,nan,0.28740965391608386,0.2815394436888112,0.31205122697552445,0.03051178328671328,0.02464157305944059,0.03624221099650349,nan
60.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2744998546853147,nan,0.2810279886013986,0.2735839286013986,0.31175273237762235,0.03816880377622378,0.03072474377622375,0.03725287769230767,nan
75.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2705723708041958,0.2705723708041958,0.25961900201048954,0.25940014615384616,0.29365662202797205,0.03425647587412589,0.034037620017482506,0.02308425122377622,0.02308425122377622
100.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.26402656433566435,0.26402656433566435,0.25066579615384615,0.23563622027972028,0.2758552548951049,0.04021903461538459,0.02518945874125872,0.011828690559440524,0.011828690559440524
150.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2509349513986014,0.2509349513986014,0.2154705241258741,0.20322436538461544,0.24750573479020982,0.04428136940559438,0.032035210664335706,-0.003429216608391572,-0.003429216608391572
200.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.23784333846153846,0.23784333846153846,0.19192561608391612,0.164201727972028,0.2360906146853147,0.07188888671328669,0.04416499860139858,-0.0017527237762237635,-0.0017527237762237635
