family,lambda,n_real_complete,n_scout_selected,scout_selected_frac,scout_selected_real_pass_rate,scout_selected_proxy_mean,scout_selected_proxy_median,scout_selected_proxy_p25,scout_selected_proxy_p75,scout_selected_pred_reward_mean,all_scout_real_pass_rate,all_scout_proxy_mean,proxy_ge_0.3_n,proxy_ge_0.3_pass_rate,proxy_ge_0.4_n,proxy_ge_0.4_pass_rate,proxy_ge_0.5_n,proxy_ge_0.5_pass_rate,top_half_by_proxy_n,top_half_by_proxy_pass_rate
7B,0.0,305,21,0.06885245901639345,0.0,0.42324821650981903,0.36609941720962524,0.2933746576309204,0.4902137219905853,0.3050130208333333,0.08196721311475409,0.4441438997622396,15,0.0,10,0.0,5,0.0,11,0.0
7B,1e-05,305,54,0.17704918032786884,0.037037037037037035,0.4261322480936845,0.3948975205421448,0.21955763921141624,0.6143380105495453,0.3138020833333333,0.08196721311475409,0.4441438997622396,35,0.02857142857142857,27,0.037037037037037035,18,0.05555555555555555,27,0.037037037037037035
7B,1.5e-05,305,129,0.42295081967213116,0.046511627906976744,0.4117867341914842,0.36609941720962524,0.24112150073051453,0.5805626511573792,0.31480135658914726,0.08196721311475409,0.4441438997622396,85,0.058823529411764705,62,0.08064516129032258,38,0.13157894736842105,65,0.07692307692307693
7B,2e-05,305,176,0.5770491803278689,0.045454545454545456,0.399345566730269,0.3395325839519501,0.23570971190929413,0.5470160990953445,0.31803755326704547,0.08196721311475409,0.4441438997622396,108,0.06481481481481481,79,0.0759493670886076,50,0.12,88,0.06818181818181818
7B,2.25e-05,305,190,0.6229508196721312,0.042105263157894736,0.39305045314525305,0.33372557163238525,0.22328123450279236,0.54161137342453,0.31686369243421053,0.08196721311475409,0.4441438997622396,114,0.06140350877192982,83,0.07228915662650602,53,0.11320754716981132,95,0.06315789473684211
7B,2.5e-05,305,207,0.6786885245901639,0.043478260869565216,0.4009989892371035,0.3404255211353302,0.23358036577701569,0.5648371577262878,0.3271295667270531,0.08196721311475409,0.4441438997622396,125,0.056,94,0.06382978723404255,61,0.09836065573770492,104,0.057692307692307696
7B,2.75e-05,305,222,0.7278688524590164,0.04054054054054054,0.4074725100921618,0.36537015438079834,0.23637401312589645,0.5698485523462296,0.333544481981982,0.08196721311475409,0.4441438997622396,137,0.051094890510948905,106,0.05660377358490566,70,0.08571428571428572,111,0.05405405405405406
7B,3e-05,305,236,0.7737704918032787,0.038135593220338986,0.41370751307803694,0.38571567833423615,0.23971179500222206,0.5775360018014908,0.3400423728813559,0.08196721311475409,0.4441438997622396,149,0.04697986577181208,117,0.05128205128205128,79,0.0759493670886076,118,0.05084745762711865
7B,3.5e-05,305,255,0.8360655737704918,0.06274509803921569,0.42034630579691307,0.40336135029792786,0.23926914483308792,0.5880076289176941,0.3451937806372549,0.08196721311475409,0.4441438997622396,162,0.08024691358024691,128,0.09375,87,0.13793103448275862,128,0.09375
7B,4e-05,305,277,0.9081967213114754,0.07942238267148015,0.4359946518544686,0.41453731060028076,0.24284304678440094,0.6031452417373657,0.3561879512635379,0.08196721311475409,0.4441438997622396,181,0.10497237569060773,144,0.125,103,0.17475728155339806,139,0.12949640287769784
7B,5e-05,305,294,0.9639344262295082,0.08163265306122448,0.442283507233777,0.4183543771505356,0.2434690035879612,0.6086656451225281,0.35974038052721086,0.08196721311475409,0.4441438997622396,193,0.10880829015544041,155,0.12903225806451613,112,0.17857142857142858,147,0.1360544217687075
7B,0.0001,305,305,1.0,0.08196721311475409,0.4441438997622396,0.41938111186027527,0.24534687399864197,0.6092436909675598,0.36026831454918035,0.08196721311475409,0.4441438997622396,201,0.10945273631840796,161,0.13043478260869565,117,0.1794871794871795,153,0.13725490196078433
4B,1e-05,347,100,0.2881844380403458,0.28,0.4037982505559921,0.4028754085302353,0.20058533176779747,0.5805591940879822,0.38908203125,0.23919308357348704,0.33397161923295227,64,0.375,51,0.43137254901960786,33,0.48484848484848486,50,0.44
4B,1.5e-05,347,218,0.6282420749279539,0.29357798165137616,0.41872026299664733,0.40583349764347076,0.20714041218161583,0.5826709568500519,0.39322879336295874,0.23919308357348704,0.33397161923295227,137,0.40145985401459855,111,0.43243243243243246,78,0.5256410256410257,109,0.44036697247706424
4B,2e-05,347,244,0.7031700288184438,0.29508196721311475,0.43007691735859777,0.41025446355342865,0.21400149166584015,0.6117936074733734,0.3900606749487705,0.23919308357348704,0.33397161923295227,157,0.4012738853503185,127,0.4251968503937008,91,0.5164835164835165,122,0.4426229508196721
4B,2.25e-05,347,250,0.7204610951008645,0.304,0.42982760025933386,0.41025446355342865,0.2107001394033432,0.6127741634845734,0.3884111328125,0.23919308357348704,0.33397161923295227,161,0.4161490683229814,130,0.43846153846153846,94,0.5319148936170213,125,0.456
4B,2.5e-05,347,257,0.7406340057636888,0.30739299610894943,0.43271596111168775,0.4115031063556671,0.20904946327209473,0.6256983280181885,0.38870536121412935,0.23919308357348704,0.33397161923295227,166,0.42168674698795183,135,0.4444444444444444,98,0.5408163265306123,129,0.46511627906976744
4B,2.75e-05,347,263,0.7579250720461095,0.30798479087452474,0.42917147779150266,0.41059601306915283,0.2029898390173912,0.6291010081768036,0.38664657534755226,0.23919308357348704,0.33397161923295227,168,0.42857142857142855,137,0.45255474452554745,100,0.55,132,0.4696969696969697
4B,3e-05,347,265,0.7636887608069164,0.30566037735849055,0.4259324477704347,0.40991291403770447,0.20095466077327728,0.6256983280181885,0.38449499742040094,0.23919308357348704,0.33397161923295227,168,0.42857142857142855,137,0.45255474452554745,100,0.55,133,0.46616541353383456
4B,3.5e-05,347,271,0.7809798270893372,0.3025830258302583,0.41742920734304456,0.4057508111000061,0.19010674953460693,0.6168761253356934,0.3777218076135839,0.23919308357348704,0.33397161923295227,168,0.42857142857142855,137,0.45255474452554745,100,0.55,136,0.45588235294117646
