lambda,best_always_policy,best_always_utility,cascade_utility,best_q_policy,best_q_utility,best_q_minus_always,best_q_minus_cascade,best_q_reward,best_q_cost,best_q_mean_calls
0.0,always::solver:openai/gpt-oss-120b,0.47202797202797203,0.44405594405594406,state_policy::flexible_bare_max4,0.43356643356643354,-0.03846153846153849,-0.010489510489510523,0.43356643356643354,0.011667134157342654,1.4580419580419581
5.0,always::solver:openai/gpt-oss-120b,0.40249621573426575,0.34523427304195803,state_policy::flexible_bare_max4,0.36804330370629373,-0.034452912027972016,0.022809030664335705,0.4125874125874126,0.008908821776223775,1.3146853146853146
10.0,always::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.3588094601398601,0.31284616846153845,state_policy::flexible_bare_max4,0.3257848182167832,-0.033024641923076914,0.012938649755244724,0.4020979020979021,0.007631308388111887,1.3251748251748252
15.0,always::solver:openai/gpt-oss-20b,0.34295199414335664,0.32859655265734267,state_policy::input_only_direct,0.30153172716783216,-0.04142026697552448,-0.027064825489510502,0.36363636363636365,0.004140309097902098,1.0
20.0,always::solver:openai/gpt-oss-20b,0.32789869615384615,0.31342011216783217,state_policy::input_only_direct,0.29303247216783224,-0.03486622398601391,-0.02038763999999993,0.35664335664335667,0.0031805442237762224,1.0
25.0,always::solver:openai/gpt-oss-20b,0.31284539816433565,0.29824367167832166,state_policy::input_only_direct,0.2899964831293707,-0.022848915034964945,-0.008247188548950957,0.35664335664335667,0.0026658749405594384,1.0
30.0,always::solver:openai/gpt-oss-20b,0.29779210017482516,0.28306723118881116,state_policy::input_only_direct,0.29493345531468534,-0.002858644860139814,0.01186622412587418,0.36363636363636365,0.002290096944055943,1.0
35.0,always::solver:openai/gpt-oss-20b,0.2827388021853146,0.26789079069930066,state_policy::input_only_direct,0.29248934828671336,0.00975054610139875,0.024598557587412695,0.36363636363636365,0.002032771867132865,1.0
40.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2797364998601399,0.25271435020979016,state_policy::input_only_direct,0.2927448525874126,0.013008352727272743,0.04003050237762246,0.35664335664335667,0.0015974626013986017,1.0
50.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.27711817727272725,0.22236146923076922,state_policy::input_only_direct,0.29308861206293707,0.01597043479020982,0.07072714283216786,0.35664335664335667,0.001271094891608392,1.0
75.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2705723708041958,0.2705723708041958,state_policy::input_only_direct,0.25940014615384616,-0.011172224650349671,-0.011172224650349671,0.34615384615384615,0.001156716,1.0
100.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.26402656433566435,0.26402656433566435,state_policy::input_only_direct,0.2356362202797203,-0.02839034405594404,-0.02839034405594404,0.34615384615384615,0.0011051762587412585,1.0
150.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2509349513986014,0.2509349513986014,state_policy::forced_scout_0_max4,0.2048134033216784,-0.04612154807692298,-0.04612154807692298,0.3356643356643357,0.0008723395489510484,1.3216783216783217
200.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2378433384615385,0.23784333846153846,state_policy::forced_scout_0_max4,0.17073443356643364,-0.06710890489510485,-0.06710890489510482,0.3321678321678322,0.0008071669930069927,1.3076923076923077
