split_idx,level,model,bucket_idx,bucket_low,bucket_high,n,mean_pred,mean_true,abs_gap
0,attempt,raw_score,0,0.0,0.1,32,0.035378639586269855,0.0625,0.027121360413730145
0,attempt,raw_score,1,0.1,0.2,12,0.17117941876252493,0.4166666666666667,0.24548724790414175
0,attempt,raw_score,2,0.2,0.30000000000000004,14,0.2539801778537886,0.07142857142857142,0.1825516064252172
0,attempt,raw_score,3,0.30000000000000004,0.4,34,0.34561319386257844,0.35294117647058826,0.00732798260800982
0,attempt,raw_score,4,0.4,0.5,35,0.4519335218838283,0.3142857142857143,0.137647807598114
0,attempt,raw_score,5,0.5,0.6000000000000001,28,0.5465492350714547,0.5357142857142857,0.010834949357169
0,attempt,raw_score,6,0.6000000000000001,0.7000000000000001,30,0.645958826939265,0.7333333333333333,0.0873745063940683
0,attempt,raw_score,7,0.7000000000000001,0.8,28,0.7459520186696734,0.8571428571428571,0.11119083847318367
0,attempt,raw_score,8,0.8,0.9,16,0.8478074856102467,0.75,0.09780748561024666
0,attempt,raw_score,9,0.9,1.0,67,0.9539301386520044,0.7910447761194029,0.16288536253260144
0,attempt,global,0,0.0,0.1,0,,,
0,attempt,global,1,0.1,0.2,0,,,
0,attempt,global,2,0.2,0.30000000000000004,49,0.23929548192063968,0.14285714285714285,0.09643833906349683
0,attempt,global,3,0.30000000000000004,0.4,60,0.35788773218856046,0.3,0.05788773218856047
0,attempt,global,4,0.4,0.5,57,0.4515585081092058,0.5087719298245614,0.05721342171535565
0,attempt,global,5,0.5,0.6000000000000001,51,0.5475364704137478,0.8235294117647058,0.2759929413509581
0,attempt,global,6,0.6000000000000001,0.7000000000000001,79,0.6600160192194071,0.7721518987341772,0.11213587951477011
0,attempt,global,7,0.7000000000000001,0.8,0,,,
0,attempt,global,8,0.8,0.9,0,,,
0,attempt,global,9,0.9,1.0,0,,,
0,attempt,global_len,0,0.0,0.1,0,,,
0,attempt,global_len,1,0.1,0.2,23,0.18290488612986414,0.043478260869565216,0.13942662526029892
0,attempt,global_len,2,0.2,0.30000000000000004,35,0.24563103647361148,0.22857142857142856,0.017059607902182916
0,attempt,global_len,3,0.30000000000000004,0.4,62,0.3489423092653193,0.3064516129032258,0.04249069636209346
0,attempt,global_len,4,0.4,0.5,50,0.4493316354216774,0.54,0.09066836457832261
0,attempt,global_len,5,0.5,0.6000000000000001,47,0.5489970806840943,0.8297872340425532,0.2807901533584589
0,attempt,global_len,6,0.6000000000000001,0.7000000000000001,66,0.6708331911228036,0.803030303030303,0.1321971119074994
0,attempt,global_len,7,0.7000000000000001,0.8,13,0.7057344903179115,0.7692307692307693,0.0634962789128578
0,attempt,global_len,8,0.8,0.9,0,,,
0,attempt,global_len,9,0.9,1.0,0,,,
0,attempt,route_intercept,0,0.0,0.1,0,,,
0,attempt,route_intercept,1,0.1,0.2,0,,,
0,attempt,route_intercept,2,0.2,0.30000000000000004,48,0.23659380127152538,0.14583333333333334,0.09076046793819204
0,attempt,route_intercept,3,0.30000000000000004,0.4,57,0.35577554443464704,0.2982456140350877,0.05752993039955934
0,attempt,route_intercept,4,0.4,0.5,59,0.4466595749163082,0.4915254237288136,0.04486584881250538
0,attempt,route_intercept,5,0.5,0.6000000000000001,51,0.5428828758299994,0.803921568627451,0.2610386927974516
0,attempt,route_intercept,6,0.6000000000000001,0.7000000000000001,81,0.658939830995624,0.7777777777777778,0.11883794678215376
0,attempt,route_intercept,7,0.7000000000000001,0.8,0,,,
0,attempt,route_intercept,8,0.8,0.9,0,,,
