split_idx,score_model,lambda,train_utility,eval_utility_minus_best_baseline,best_baseline,best_baseline_utility,oracle_dynamic_utility,oracle_dynamic_reward,oracle_dynamic_cost,eval_mean_reward,eval_mean_cost,eval_mean_20b_rollouts,eval_submit_20b_after_3,eval_escalate_120b_after_3,eval_submit_20b_after_2,eval_escalate_120b,eval_mean_utility,chosen_escalate_tau_1,chosen_submit_tau_1,chosen_escalate_tau_2,chosen_submit_tau_2,chosen_final_escalate_tau,eval_escalate_120b_after_2,eval_submit_20b_after_1,eval_escalate_120b_after_1
0,raw_state_score,0.0,0.527027027027027,0.013513513513513487,20B_x3_pred_best,0.5675675675675675,0.6486486486486487,0.6486486486486487,0.004864391716216216,0.581081081081081,0.013086554797297296,2.9864864864864864,57,16,1,16,0.581081081081081,0.026959402727127074,0.966831624507904,0.026959402727127074,0.966831624507904,0.44967541098594666,,,
0,raw_state_score,1.0,0.5158948254729729,0.00965061933783784,20B_x3_pred_best,0.5586478436351351,0.6442780037432433,0.6486486486486487,0.004370644905405405,0.581081081081081,0.01278261810810811,2.7432432432432434,55,,1,18,0.5682984629729729,0.026959402727127074,0.966831624507904,0.44967541098594666,0.966831624507904,0.026959402727127074,18,,
0,raw_state_score,2.0,0.5047626239189189,0.005787725162162194,20B_x3_pred_best,0.5497281197027026,0.6399073588378379,0.6486486486486487,0.004370644905405405,0.581081081081081,0.01278261810810811,2.7432432432432434,55,,1,18,0.5555158448648648,0.026959402727127074,0.966831624507904,0.44967541098594666,0.966831624507904,0.026959402727127074,18,,
0,raw_state_score,5.0,0.4727163132432432,-0.044378128581081144,20B_x3_pred_best,0.5229689479054054,0.6267954241216217,0.6486486486486487,0.004370644905405405,0.527027027027027,0.009687241540540542,1.3513513513513513,,,8,18,0.47859081932432423,0.026959402727127074,0.44967541098594666,0.44967541098594666,0.44967541098594666,0.026959402727127074,18,48,
0,raw_state_score,10.0,0.4319191129729729,-0.053940940405405424,20B_r0,0.484095552027027,0.6049421995945946,0.6486486486486487,0.004370644905405405,0.527027027027027,0.009687241540540542,1.3513513513513513,,,8,18,0.43015461162162155,0.026959402727127074,0.44967541098594666,0.44967541098594666,0.44967541098594666,0.026959402727127074,18,48,
0,raw_state_score,20.0,0.3841293445945946,0.0,20B_r0,0.4546775905405405,0.5612357505405405,0.6486486486486487,0.004370644905405405,0.5135135135135135,0.002941796148648649,1.0,,,,0,0.4546775905405405,0.026959402727127074,0.026959402727127074,0.026959402727127074,0.026959402727127074,0.026959402727127074,,74,
0,state_score,0.0,0.527027027027027,0.013513513513513487,20B_x3_pred_best,0.5675675675675675,0.6486486486486487,0.6486486486486487,0.004864391716216216,0.581081081081081,0.013086554797297296,2.9864864864864864,57,16,1,16,0.581081081081081,0.20982612422608812,0.6455734291889351,0.20982612422608812,0.6455734291889351,0.38701047461426474,,,
0,state_score,1.0,0.5158948254729729,0.00965061933783784,20B_x3_pred_best,0.5586478436351351,0.6442780037432433,0.6486486486486487,0.004370644905405405,0.581081081081081,0.01278261810810811,2.7432432432432434,55,,1,18,0.5682984629729729,0.20982612422608812,0.6455734291889351,0.38701047461426474,0.6455734291889351,0.20982612422608812,18,,
0,state_score,2.0,0.5047626239189189,0.005787725162162194,20B_x3_pred_best,0.5497281197027026,0.6399073588378379,0.6486486486486487,0.004370644905405405,0.581081081081081,0.01278261810810811,2.7432432432432434,55,,1,18,0.5555158448648648,0.20982612422608812,0.6455734291889351,0.38701047461426474,0.6455734291889351,0.20982612422608812,18,,
0,state_score,5.0,0.4727163132432432,-0.044378128581081144,20B_x3_pred_best,0.5229689479054054,0.6267954241216217,0.6486486486486487,0.004370644905405405,0.527027027027027,0.009687241540540542,1.3513513513513513,,,8,18,0.47859081932432423,0.20982612422608812,0.38701047461426474,0.38701047461426474,0.38701047461426474,0.20982612422608812,18,48,
0,state_score,10.0,0.4319191129729729,-0.053940940405405424,20B_r0,0.484095552027027,0.6049421995945946,0.6486486486486487,0.004370644905405405,0.527027027027027,0.009687241540540542,1.3513513513513513,,,8,18,0.43015461162162155,0.20982612422608812,0.38701047461426474,0.38701047461426474,0.38701047461426474,0.20982612422608812,18,48,
0,state_score,20.0,0.3841293445945946,0.0,20B_r0,0.4546775905405405,0.5612357505405405,0.6486486486486487,0.004370644905405405,0.5135135135135135,0.002941796148648649,1.0,,,,0,0.4546775905405405,0.20982612422608812,0.20982612422608812,0.20982612422608812,0.20982612422608812,0.20982612422608812,,74,
0,state_score_n,0.0,0.527027027027027,0.027027027027027084,20B_x3_pred_best,0.5675675675675675,0.6486486486486487,0.6486486486486487,0.004864391716216216,0.5945945945945946,0.013889373405405405,2.891891891891892,52,18,,18,0.5945945945945946,0.1838289645341908,0.6782897131416432,0.1838289645341908,0.6782897131416432,0.37027950637526547,,4,
0,state_score_n,1.0,0.5152648758243242,0.011059555513513564,20B_x3_pred_best,0.5586478436351351,0.6442780037432433,0.6486486486486487,0.004370644905405405,0.581081081081081,0.011373681932432432,2.4054054054054053,52,,,18,0.5697073991486487,0.37027950637526547,0.6782897131416432,0.1838289645341908,0.6782897131416432,0.1838289645341908,,4,18
0,state_score_n,2.0,0.5035027246216216,0.00860559751351353,20B_x3_pred_best,0.5497281197027026,0.6399073588378379,0.6486486486486487,0.004370644905405405,0.581081081081081,0.011373681932432432,2.4054054054054053,52,,,18,0.5583337172162162,0.37027950637526547,0.6782897131416432,0.1838289645341908,0.6782897131416432,0.1838289645341908,,4,18
