route,model,n,auc_mean,auc_std,pearson_mean,pearson_std,brier_mean,brier_std,nll_mean,nll_std,ece_mean,ece_std,mean_pred_mean,mean_pred_std,positive_rate_mean,positive_rate_std
OSS-120B,global,20,0.7740513208666321,0.03287026519475806,0.4886080426814967,0.056177800733009445,0.20564973578148601,0.006809471625414699,0.6014012101210675,0.014039624446993547,0.13937753830370278,0.03502390945150439,0.5156838775120732,0.0290158664915245,0.5358108108108108,0.03317698296538085
OSS-120B,global_len,20,0.7839487157471521,0.032821776273783375,0.5071346633146785,0.05640321175190845,0.19996969355086278,0.007506770385655415,0.5889223093824689,0.015520707121015343,0.13349828049517828,0.02836886163195991,0.5126954482341552,0.029782020603434687,0.5358108108108108,0.03317698296538085
OSS-120B,raw_score,20,0.7740513208666321,0.03287026519475806,0.48650211071056965,0.05583449320454738,0.19390853174933673,0.014455032700187647,0.5926674262198037,0.045477539270081684,0.13880141338685878,0.025591860448727764,0.5913246902612013,0.021001973324040784,0.5358108108108108,0.03317698296538085
OSS-120B,route_intercept,20,0.7740513208666321,0.03287026519475806,0.4882474570888499,0.0560184792733616,0.20639045460012456,0.007805616240826763,0.6028089016080748,0.016187811684182485,0.13731168459452464,0.027952423714366074,0.5270207476022184,0.032622706868668735,0.5358108108108108,0.03317698296538085
OSS-120B,route_intercept_len,20,0.7841716004109746,0.032643744941178214,0.5069833847326057,0.056234741712038246,0.20051931818815888,0.008252852918330967,0.5899348388225032,0.01721288103726204,0.1284525868543428,0.02408511540886648,0.5283219766407888,0.03273645468405648,0.5358108108108108,0.03317698296538085
OSS-20B,global,20,0.8181895599233128,0.02420036754821396,0.5509899805522833,0.04006915830402589,0.19313579684080814,0.0049826269370806175,0.5742808531263892,0.010181016141431128,0.13341776713844025,0.027889213117790784,0.49795422900042585,0.02750284558841566,0.4797297297297297,0.025817531316949728
OSS-20B,global_len,20,0.8297112502163293,0.025288266842409163,0.5724666731498963,0.0417678106486404,0.18533003245695914,0.005473567175850034,0.5562357736923789,0.010968571390844907,0.1311472276157309,0.031157169739168888,0.48794991678794564,0.028023665805320005,0.4797297297297297,0.025817531316949728
OSS-20B,raw_score,20,0.8181895599233128,0.02420036754821396,0.5499302146196653,0.039828500490552865,0.18096566004315578,0.013314820095296132,0.5505761844668154,0.041980991692791285,0.11086624968033454,0.019929937673816057,0.5519266956263464,0.02027899358699631,0.4797297297297297,0.025817531316949728
OSS-20B,route_intercept,20,0.8181895599233128,0.02420036754821396,0.5510224082402364,0.040125879529207126,0.19319520492021008,0.005105520760598222,0.5743730235812416,0.010386974844199747,0.13196930900684065,0.028179202485833242,0.49438121085810616,0.028121019646567182,0.4797297297297297,0.025817531316949728
OSS-20B,route_intercept_len,20,0.8298048892989598,0.025231623209571345,0.5726019501961792,0.0419205617346458,0.18548337201194678,0.005705888753041413,0.556467962977707,0.011370445690943734,0.12678124518419823,0.0268118821616968,0.4828277383902833,0.028948873687828922,0.4797297297297297,0.025817531316949728
