split_idx,level,model,route_idx,route,n,positive_rate,auc,pearson,brier,nll,ece,mean_pred
0,attempt,raw_score,,,296,0.5304054054054054,0.7882051047060441,0.5044203015313116,0.1894465514692758,0.5932084586568405,0.1011907904836777,0.5653971378767008
0,attempt_by_route,raw_score,1,OSS-20B,222,0.5180180180180181,0.7951239333604226,0.5138207974902156,0.18786688885578626,0.5873287197338768,0.11236686018706714,0.5547455932424815
0,attempt_by_route,raw_score,3,OSS-120B,74,0.5675675675675675,0.7596726190476191,0.46932735717666657,0.1941855393097444,0.6108476754257325,0.15168140710306327,0.5973517717793584
0,attempt,global,,,296,0.5304054054054054,0.7882051047060441,0.5048546889257525,0.1995118031498961,0.5871626291894045,0.11619689889785792,0.46960541559825675
0,attempt_by_route,global,1,OSS-20B,222,0.5180180180180181,0.7951239333604226,0.513442943258635,0.1972406988795752,0.5817515881343305,0.1096371946880991,0.464720211963091
0,attempt_by_route,global,3,OSS-120B,74,0.5675675675675675,0.7596726190476191,0.4727315871029932,0.20632511596085887,0.6033957523546267,0.14986692143543096,0.48426102650375413
0,attempt,global_len,,,296,0.5304054054054054,0.8008064885671081,0.5229604388101781,0.19439847312838518,0.5747029134372096,0.11391668338019893,0.4599908965658353
0,attempt_by_route,global_len,1,OSS-20B,222,0.5180180180180181,0.8088581877285657,0.5336668216052218,0.19161458986228877,0.5678720367077337,0.11959870929355494,0.45350102850036855
0,attempt_by_route,global_len,3,OSS-120B,74,0.5675675675675675,0.7633928571428571,0.4835292912397693,0.20275012292667446,0.5951955436256373,0.13019622192576588,0.4794605007622356
0,attempt,route_intercept,,,296,0.5304054054054054,0.7887549832745269,0.5047224294576459,0.1994903180313709,0.5870217392937179,0.11223527228300811,0.4697627580805601
0,attempt_by_route,route_intercept,1,OSS-20B,222,0.5180180180180181,0.7951239333604226,0.5131758217593386,0.19797168923518618,0.5831550807668745,0.1115934902179877,0.4599185317184954
0,attempt_by_route,route_intercept,3,OSS-120B,74,0.5675675675675675,0.7596726190476191,0.47297155558488146,0.2040462044199252,0.5986217148742485,0.1547547483679081,0.4992954371667543
0,attempt,route_intercept_len,,,296,0.5304054054054054,0.8003482564267058,0.5223292810859146,0.19443279118940632,0.5746411991856969,0.12631092490835227,0.46005040652573775
0,attempt_by_route,route_intercept_len,1,OSS-20B,222,0.5180180180180181,0.808939455505892,0.5333868966825788,0.1927094700780061,0.5699927833982122,0.12870280352044144,0.44711496463588035
0,attempt_by_route,route_intercept_len,3,OSS-120B,74,0.5675675675675675,0.7633928571428571,0.4843531970954047,0.19960275452360718,0.5885864465481507,0.13932525383390987,0.49885673219531007
0,best_seen_state,raw_state_score,,,222,0.5495495495495496,0.7843442622950819,0.4908948842557475,0.19419914897483675,0.6069133696968337,0.12884684556440723,0.6251304712616377
0,best_seen_state,state_score,,,222,0.5495495495495496,0.7843442622950819,0.4918711483787444,0.20608779013386827,0.6015631361176794,0.12769209638538237,0.4778597396073491
0,best_seen_state,state_score_n,,,222,0.5495495495495496,0.7804918032786885,0.48972932684164877,0.2057298993067764,0.6007538992297627,0.14196398759474316,0.47629053577879116
0,best_seen_state,state_full,,,222,0.5495495495495496,0.809016393442623,0.5241362953617529,0.1880377774109836,0.5600823056313501,0.10888393495783497,0.47595089794126877
1,attempt,raw_score,,,296,0.5033783783783784,0.7803040679358992,0.48198705254705143,0.19732336354277713,0.5922976964444334,0.11363162100944366,0.5594195598623136
1,attempt_by_route,raw_score,1,OSS-20B,222,0.4954954954954955,0.7815746753246753,0.48553569846454137,0.1972073304889675,0.5889739533108277,0.11792009878433772,0.5541030088238217
1,attempt_by_route,raw_score,3,OSS-120B,74,0.527027027027027,0.7714285714285715,0.469968324665811,0.197671462704206,0.6022689258452507,0.12746217877075477,0.5753692129777895
1,attempt,global,,,296,0.5033783783783784,0.7803040679358992,0.48337883786301333,0.20001328701530538,0.5881250446895503,0.11301429421192669,0.4911132093537226
1,attempt_by_route,global,1,OSS-20B,222,0.4954954954954955,0.7815746753246753,0.48668967730609636,0.19884758566817368,0.5854486930112482,0.10808359716804858,0.4887367612557532
1,attempt_by_route,global,3,OSS-120B,74,0.527027027027027,0.7714285714285715,0.4722328621773598,0.20351039105670055,0.5961540997244575,0.1446243199705803,0.498242553647631
1,attempt,global_len,,,296,0.5033783783783784,0.7935899191891522,0.5070263498666693,0.19402370775108077,0.5738910197652932,0.10668124727642757,0.48112825364414735
1,attempt_by_route,global_len,1,OSS-20B,222,0.4954954954954955,0.7948863636363637,0.511098283885146,0.19261897318582635,0.5705148701679194,0.09971102046665081,0.47699290502132674
1,attempt_by_route,global_len,3,OSS-120B,74,0.527027027027027,0.7860805860805861,0.4928736268400576,0.19823791144684405,0.5840194685574155,0.14171849609856313,0.49353429951260946
1,attempt,route_intercept,,,296,0.5033783783783784,0.7799844770122815,0.4830911885592853,0.2000804368143743,0.5882188513198259,0.10695057861201328,0.49119926709720635
1,attempt_by_route,route_intercept,1,OSS-20B,222,0.4954954954954955,0.7815746753246753,0.48668881005961623,0.19915322829861973,0.5860226467105268,0.10890017151095753,0.48226696035042577
1,attempt_by_route,route_intercept,3,OSS-120B,74,0.527027027027027,0.7714285714285715,0.47231441950802494,0.20286206236163795,0.5948074651477234,0.10110179991518063,0.5179961873375484
1,attempt,route_intercept_len,,,296,0.5033783783783784,0.7926311464182989,0.5058601360424979,0.19419328473176936,0.5741466155121575,0.09711005363307113,0.4810686582286298
1,attempt_by_route,route_intercept_len,1,OSS-20B,222,0.4954954954954955,0.7954545454545454,0.5112471017136406,0.19318234494357633,0.5715506997678647,0.09562154422754922,0.4687932812742509
1,attempt_by_route,route_intercept_len,3,OSS-120B,74,0.527027027027027,0.7860805860805861,0.49332931228779586,0.19722610409634825,0.581934362745036,0.10157558184963716,0.5178947890917662
1,best_seen_state,raw_state_score,,,222,0.527027027027027,0.7668701668701668,0.46144217245426145,0.2095199345160663,0.6243913432748437,0.14637876300325803,0.6419375631958246
1,best_seen_state,state_score,,,222,0.527027027027027,0.7668701668701668,0.4636581144131607,0.20709533201949865,0.6040685189433986,0.16925170169054188,0.5170138634022291
1,best_seen_state,state_score_n,,,222,0.527027027027027,0.7654049654049654,0.46132789964748716,0.20682599322057652,0.6036866325794641,0.1391173463460539,0.5158827067214687
1,best_seen_state,state_full,,,222,0.527027027027027,0.7741961741961741,0.4772222337512658,0.1952627130842963,0.5757371416880352,0.06229600019843134,0.49780651472581083
2,attempt,raw_score,,,296,0.48986486486486486,0.7957524548983786,0.51586295667504,0.1899317501226211,0.582690021331884,0.09018033113632655,0.5472604508033475
2,attempt_by_route,raw_score,1,OSS-20B,222,0.47297297297297297,0.8075702075702076,0.5362072730910903,0.18480026175355718,0.5689603580069434,0.10099489751129268,0.5366542440595793
