run,split,bucket,n,abs_true_delta_min,abs_true_delta_max,mean_abs_true_delta,primary_win_rate,expert_win_rate,always_primary_reward,always_expert_reward,default_reward,train_tau_reward,oracle_reward,default_regret_vs_oracle,train_tau_regret_vs_oracle,default_choice_acc,train_tau_choice_acc,default_choose_primary,default_choose_expert,train_tau_choose_primary,train_tau_choose_expert,pred_delta_mean,pred_delta_std,bucket_type
plain_full_5ep,train,"[0,.025)",76,0.0,0.024259135127067566,0.006648168654034012,0.7763157894736842,0.2236842105263158,0.30539108709873336,0.30343885410969196,0.3046708261888278,0.304715335565178,0.30773905493122966,0.003068228742401851,0.003023719366051649,0.5131578947368421,0.5526315789473685,30,46,49,27,0.039488320056223436,0.11236812551803133,fixed
plain_full_5ep,train,"[.025,.05)",31,0.025014277547597885,0.0490894690155983,0.03604958747183123,0.5161290322580645,0.4838709677419355,0.26835945284655016,0.26734871152908574,0.2628948867561356,0.264669336498745,0.28587887592373357,0.022983989167597987,0.02120953942498853,0.3548387096774194,0.41935483870967744,14,17,22,9,0.00967852218497184,0.04533470094266231,fixed
plain_full_5ep,train,"[.05,.10)",68,0.05042184889316559,0.09853377938270569,0.07547053776900559,0.5735294117647058,0.4264705882352941,0.2638104745899053,0.24923617688610272,0.2565164076821769,0.2660151639514986,0.2942585946225068,0.037742186940329915,0.028243430671008193,0.5,0.6176470588235294,29,39,45,23,0.012575658602359267,0.07568966371145407,fixed
plain_full_5ep,train,"[.10,.20)",141,0.10109014809131622,0.1995719000697136,0.1506389631288694,0.524822695035461,0.475177304964539,0.2753484453609649,0.2655852553533747,0.2953170818005893,0.29780909889344626,0.3457863319216045,0.050469250121015184,0.04797723302815823,0.6737588652482269,0.6879432624113475,54,87,86,55,0.03285911373285484,0.09900541516149537,fixed
plain_full_5ep,train,>=.20,195,0.20028726756572723,0.9925000071525574,0.3980897409602618,0.47692307692307695,0.5230769230769231,0.30627690410384767,0.35463228019384235,0.42123843196492927,0.4391729989112952,0.5294994626289758,0.1082610306640466,0.09032646371768072,0.6974358974358974,0.7384615384615385,66,129,108,87,0.07078614286356008,0.1607935861234963,fixed
plain_full_5ep,train,"q1: [0.000,0.046]",102,0.0,0.04547153413295746,0.013589780229855986,0.7058823529411765,0.29411764705882354,0.29689110968919363,0.2955680202838837,0.2951615137577641,0.29574349840335984,0.30302445510146664,0.007862941343702521,0.007280956698106784,0.47058823529411764,0.5196078431372549,42,60,67,35,0.03208062115813578,0.10068612071569139,quantile
plain_full_5ep,train,"q2: [0.046,0.118]",102,0.04588519036769867,0.1180180162191391,0.0840167676043861,0.5490196078431373,0.45098039215686275,0.2597998944932924,0.2501196653819552,0.26277061044147204,0.27025062674839123,0.2969681637398168,0.0341975532983448,0.026717536991425588,0.5686274509803921,0.6568627450980392,44,58,63,39,0.022798625024734065,0.08575053830048159,quantile
plain_full_5ep,train,"q3: [0.118,0.194]",102,0.11825962364673615,0.19436900317668915,0.15758178859729977,0.5490196078431373,0.45098039215686275,0.28372325792032127,0.26591168948467453,0.297269115334048,0.30149129632056926,0.3536083680011478,0.05633925266709982,0.05211707168057853,0.6470588235294118,0.6666666666666666,36,66,64,38,0.02912590175515552,0.09551139956781901,quantile
plain_full_5ep,train,"q4: [0.194,0.319]",102,0.19442305900156498,0.3190191984176636,0.24746060486444654,0.5294117647058824,0.47058823529411764,0.29209268564248786,0.27455576960289596,0.3254271516320752,0.33579790497235223,0.4070545300549152,0.08162737842283997,0.07125662508256295,0.6666666666666666,0.7058823529411765,46,56,68,34,0.023772020634222665,0.1113689349818765,quantile
plain_full_5ep,train,"q5: [0.319,0.993]",103,0.31934380531311035,0.9925000071525574,0.5276912220762772,0.4174757281553398,0.5825242718446602,0.31553782869889896,0.42825450364825796,0.5058732705859883,0.5276414030819263,0.635741777211717,0.1298685066257287,0.1081003741297907,0.7281553398058253,0.7572815533980582,25,78,48,55,0.11261604851771834,0.1846017558688461,quantile
plain_full_5ep,eval,"[0,.025)",18,0.0,0.011847138404846191,0.003624307612578074,0.7222222222222222,0.2777777777777778,0.4285322849949201,0.42901744941870373,0.4291996541950438,0.4286445784899924,0.4305870210131009,0.0013873668180571662,0.0019424425231085883,0.3333333333333333,0.5,3,15,10,8,0.07670495904231858,0.1463616363261955,fixed
plain_full_5ep,eval,"[.025,.05)",9,0.031090617179870605,0.04900968074798584,0.037875674251053065,0.6666666666666666,0.3333333333333333,0.3572358327607314,0.34291580816109973,0.3493255881799592,0.34946725020805997,0.3690136575864421,0.01968806940648291,0.019546407378382154,0.4444444444444444,0.4444444444444444,3,6,5,4,0.021430095036824543,0.02763502030841523,fixed
plain_full_5ep,eval,"[.05,.10)",22,0.0503486692905426,0.09970729798078537,0.06969687918370421,0.5909090909090909,0.4090909090909091,0.3069066669453274,0.29541105878624047,0.2987302507866513,0.29573071138425305,0.33600730245763605,0.03727705167098479,0.04027659107338299,0.45454545454545453,0.4090909090909091,3,19,10,12,0.036114365539767525,0.040111199108218476,fixed
plain_full_5ep,eval,"[.10,.20)",43,0.10576903820037842,0.1989494264125824,0.1532527558332266,0.46511627906976744,0.5348837209302325,0.38427293092705483,0.39486352198345714,0.3951677295357682,0.3985569456288981,0.46619460437186927,0.0710268748361011,0.0676376587429712,0.5348837209302325,0.5581395348837209,12,31,31,12,0.03378786689190324,0.07588508425847511,fixed
plain_full_5ep,eval,>=.20,86,0.2004590630531311,0.9733924865722656,0.4114802924612927,0.38372093023255816,0.6162790697674418,0.2945342769976272,0.42749182736977587,0.4187037464837695,0.41549662093436995,0.5667531984143479,0.14804945193057836,0.15125657747997795,0.5813953488372093,0.5813953488372093,15,71,29,57,0.12232903356841213,0.16900814286370916,fixed
plain_full_5ep,eval,"q1: [0.000,0.063]",36,0.0,0.06296354532241821,0.025069012513591185,0.6666666666666666,0.3333333333333333,0.39531794159362715,0.3909197743568156,0.39088875241577625,0.39059187037249404,0.4056533642320169,0.014764611816240681,0.015061493859522872,0.3611111111111111,0.4444444444444444,7,29,20,16,0.053233274552945256,0.11042909159430687,quantile
plain_full_5ep,eval,"q2: [0.063,0.156]",35,0.06313586980104446,0.15588030219078064,0.11376236315284456,0.5428571428571428,0.45714285714285713,0.3595487505197525,0.3535850846341678,0.3573026316506522,0.36336258905274527,0.41344809915338243,0.05614546750273023,0.050085510100637165,0.5142857142857142,0.5428571428571428,8,27,21,14,0.03493978458988879,0.06791054468006083,quantile
plain_full_5ep,eval,"q3: [0.156,0.235]",36,0.155891552567482,0.2344454526901245,0.19215078848517603,0.4722222222222222,0.5277777777777778,0.32915989868342876,0.3377627961130606,0.34430097540219623,0.3345340918749571,0.42953674164083266,0.08523576623863643,0.09500264976587561,0.5555555555555556,0.5,9,27,19,17,0.04703231611832356,0.08034864656854579,quantile
plain_full_5ep,eval,"q4: [0.235,0.391]",35,0.23734349012374878,0.3897996246814728,0.3022091882569449,0.4,0.6,0.3231047647339957,0.37887821027210783,0.3432936489582062,0.34858472858156475,0.5020960816315242,0.15880243267331803,0.15351135304995944,0.4857142857142857,0.5142857142857142,6,29,15,20,0.09123025569466076,0.13543905089574726,quantile
plain_full_5ep,eval,"q5: [0.391,0.973]",36,0.392465740442276,0.9733924865722656,0.5982696240146955,0.3055555555555556,0.6944444444444444,0.2655627462599013,0.5328400110205015,0.5404062258700529,0.5337458505398698,0.6983361906475491,0.15792996477749613,0.16459034010767937,0.6944444444444444,0.6944444444444444,6,30,10,26,0.17543718469662256,0.20467870126095125,quantile
mse_w20_full_5ep,train,"[0,.025)",76,0.0,0.024259135127067566,0.006648168654034012,0.7763157894736842,0.2236842105263158,0.30539108709873336,0.30343885410969196,0.3053630605143936,0.3055263270476931,0.30773905493122966,0.002375994416836061,0.0022127278835365645,0.5657894736842105,0.5789473684210527,46,30,49,27,0.01477706225092621,0.1173308773581018,fixed
mse_w20_full_5ep,train,"[.025,.05)",31,0.025014277547597885,0.0490894690155983,0.03604958747183123,0.5161290322580645,0.4838709677419355,0.26835945284655016,0.26734871152908574,0.27121590258133027,0.2708605329596227,0.28587887592373357,0.014662973342403289,0.015018342964110835,0.5806451612903226,0.5806451612903226,21,10,23,8,-0.03464328858160203,0.06441898343878165,fixed
mse_w20_full_5ep,train,"[.05,.10)",68,0.05042184889316559,0.09853377938270569,0.07547053776900559,0.5735294117647058,0.4264705882352941,0.2638104745899053,0.24923617688610272,0.2676763492362464,0.26955331779797287,0.2942585946225068,0.026582245386260396,0.02470527682453394,0.6470588235294118,0.6617647058823529,43,25,46,22,-0.012293614243390039,0.08717398510203057,fixed
mse_w20_full_5ep,train,"[.10,.20)",141,0.10109014809131622,0.1995719000697136,0.1506389631288694,0.524822695035461,0.475177304964539,0.2753484453609649,0.2655852553533747,0.2950742142208925,0.29087663457748736,0.3457863319216045,0.05071211770071205,0.05490969734411713,0.6737588652482269,0.6453900709219859,82,59,86,55,-0.00534188595343652,0.1094097356163733,fixed
