budget_frac_of_120b,budget_pct_of_120b,system,reward,cost_pct,random_reward,random_cost_pct,gain_vs_random,random_mix,lambda
0.05,5.0,Q old allsubsets final ep4 direct,0.5304197476865519,4.604499474489251,0.5341672687650894,5.000000000000001,-0.0037475210785374857,0.8934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1066*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,200
0.05,5.0,Q old allsubsets bestdiag ep0 direct,0.5060835803025113,4.087162633335777,0.5341672687650894,5.000000000000001,-0.028083688462578027,0.8934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1066*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,200
0.05,5.0,Q bare-only final direct (epoch_0009),0.5269709119711422,1.8686838080721404,0.5341672687650894,5.000000000000001,-0.007196356793947145,0.8934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1066*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,50
0.05,5.0,Q r32 qkvo latest direct (epoch_0003),0.5114584214035063,3.938978971237587,0.5341672687650894,5.000000000000001,-0.022708847361583073,0.8934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1066*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,200
0.05,5.0,Q r16 qkvo+mlp latest direct (epoch_0003),0.5245373536727881,3.7325879416681276,0.5341672687650894,5.000000000000001,-0.009629915092301267,0.8934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1066*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,150
0.05,5.0,BCE post-scout r32 qkvo+mlp,0.5344359226974672,3.667050548211801,0.5341672687650894,5.000000000000001,0.0002686539323778492,0.8934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1066*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,75
0.05,5.0,BCE input-only r32 qkvo+mlp,0.525797137249227,2.4464192225534536,0.5341672687650894,5.000000000000001,-0.0083701315158623,0.8934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1066*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,150
0.05,5.0,best_always_under_cap,0.5249824522310292,1.882825004701906,0.5341672687650894,5.000000000000001,-0.009184816534060114,0.8934*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1066*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0
0.08,8.0,Q old allsubsets final ep4 direct,0.5335478205874098,7.409550975256699,0.5430068269046687,8.0,-0.009459006317258933,0.7908*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2092*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,100
0.08,8.0,Q old allsubsets bestdiag ep0 direct,0.5186046977265886,5.985380488946281,0.5430068269046687,8.0,-0.024402129178080156,0.7908*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.2092*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,150
