fold,pred_key,calibrator_model,route,params_json,train_n,valid_n,train_positive_rate
0,post_pred_rewards,route_scalar,scout,"[0.8350800900169812, -2.915106694523315]",220,56,0.06818181818181818
0,post_pred_rewards,route_scalar,oss,"[1.8356053056274662, -0.4158237848345866]",220,56,0.5681818181818182
0,post_pred_rewards,route_scalar,gemini,"[1.8011304982846719, -0.7810376000849714]",220,56,0.5136363636363637
1,post_pred_rewards,route_scalar,scout,"[1.0793806288439507, -2.7541867504728144]",221,55,0.08597285067873303
1,post_pred_rewards,route_scalar,oss,"[1.900696397244203, -0.27397961799116405]",221,55,0.6108597285067874
1,post_pred_rewards,route_scalar,gemini,"[1.8030369323626358, -0.5829983628212613]",221,55,0.5656108597285068
2,post_pred_rewards,route_scalar,scout,"[0.9205127780147444, -2.819781484853861]",221,55,0.07692307692307693
2,post_pred_rewards,route_scalar,oss,"[1.6993215584641668, -0.23936967846051999]",221,55,0.6018099547511312
2,post_pred_rewards,route_scalar,gemini,"[1.5693474789924964, -0.5514506392180386]",221,55,0.5475113122171946
3,post_pred_rewards,route_scalar,scout,"[1.0550567704649108, -2.6373559145173364]",221,55,0.09502262443438914
3,post_pred_rewards,route_scalar,oss,"[1.627011809660893, -0.35925652149939863]",221,55,0.5656108597285068
3,post_pred_rewards,route_scalar,gemini,"[1.4138859904325416, -0.6220045729497025]",221,55,0.5113122171945701
4,post_pred_rewards,route_scalar,scout,"[0.8036125787540254, -2.842722701602341]",221,55,0.07239819004524888
4,post_pred_rewards,route_scalar,oss,"[1.676800179113586, -0.36073570867753885]",221,55,0.5701357466063348
4,post_pred_rewards,route_scalar,gemini,"[1.7817167560339697, -0.5943662654580594]",221,55,0.5610859728506787
0,input_pred_rewards,route_scalar,scout,"[0.1539968343003584, -2.66132866059727]",220,56,0.06818181818181818
0,input_pred_rewards,route_scalar,oss,"[0.893005987184128, -0.03234231889267809]",220,56,0.5681818181818182
0,input_pred_rewards,route_scalar,gemini,"[1.1166996816459336, -0.4228117492948303]",220,56,0.5136363636363637
1,input_pred_rewards,route_scalar,scout,"[0.06470713412285262, -2.3833869624123794]",221,55,0.08597285067873303
1,input_pred_rewards,route_scalar,oss,"[0.7698943738785805, 0.18454161063872918]",221,55,0.6108597285067874
1,input_pred_rewards,route_scalar,gemini,"[0.9756248860928354, -0.15641315505642686]",221,55,0.5656108597285068
2,input_pred_rewards,route_scalar,scout,"[0.15593830522861707, -2.532369221637708]",221,55,0.07692307692307693
2,input_pred_rewards,route_scalar,oss,"[0.6587025925279156, 0.18334914331188162]",221,55,0.6018099547511312
2,input_pred_rewards,route_scalar,gemini,"[0.9727324597874394, -0.2311394412052679]",221,55,0.5475113122171946
3,input_pred_rewards,route_scalar,scout,"[0.055680980397754515, -2.270652547281257]",221,55,0.09502262443438914
3,input_pred_rewards,route_scalar,oss,"[0.5362130838164967, 0.0773821979053357]",221,55,0.5656108597285068
