policy,lambda_dollar,solve_rate,mean_cost_dollars,mean_cost_per_1000,utility,called_counts_by_route,first_counts_by_route
seq_global_train_p_over_cost,0,0.5594405594405595,0.01381768239510489,13.817682395104889,0.5594405594405595,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,5,0.5594405594405595,0.01381768239510489,13.817682395104889,0.490352147465035,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,10,0.5594405594405595,0.01381768239510489,13.817682395104889,0.42126373548951057,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,15,0.5594405594405595,0.01381768239510489,13.817682395104889,0.35217532351398617,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,20,0.5594405594405595,0.01381768239510489,13.817682395104889,0.2830869115384617,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,25,0.5594405594405595,0.01381768239510489,13.817682395104889,0.21399849956293726,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,30,0.5594405594405595,0.01381768239510489,13.817682395104889,0.1449100875874128,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,35,0.5594405594405595,0.01381768239510489,13.817682395104889,0.07582167561188835,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,40,0.5594405594405595,0.01381768239510489,13.817682395104889,0.006733263636363951,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,50,0.5594405594405595,0.01381768239510489,13.817682395104889,-0.13144356031468496,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,75,0.5594405594405595,0.01381768239510489,13.817682395104889,-0.4768856201923072,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,100,0.5594405594405595,0.01381768239510489,13.817682395104889,-0.8223276800699294,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
seq_global_train_p_over_cost,150,0.5594405594405595,0.01381768239510489,13.817682395104889,-1.5132117998251737,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}"
