policy,decision_cost,lambda,reward,cost,utility,counts
post_scout,none,0,0.6448598130841121,0.00989603618691589,0.6448598130841121,"{'4B': 30, '120B': 77}"
post_scout,none,5,0.6448598130841121,0.00989603618691589,0.5953796321495327,"{'4B': 30, '120B': 77}"
post_scout,none,10,0.6448598130841121,0.00989603618691589,0.5458994512149532,"{'4B': 30, '120B': 77}"
post_scout,none,15,0.6448598130841121,0.00989603618691589,0.4964192702803738,"{'4B': 30, '120B': 77}"
post_scout,none,20,0.6448598130841121,0.00989603618691589,0.4469390893457943,"{'4B': 30, '120B': 77}"
post_scout,none,25,0.6448598130841121,0.00989603618691589,0.3974589084112149,"{'4B': 30, '120B': 77}"
post_scout,none,30,0.6448598130841121,0.00989603618691589,0.34797872747663544,"{'4B': 30, '120B': 77}"
post_scout,none,35,0.6448598130841121,0.00989603618691589,0.298498546542056,"{'4B': 30, '120B': 77}"
post_scout,none,40,0.6448598130841121,0.00989603618691589,0.24901836560747653,"{'4B': 30, '120B': 77}"
post_scout,none,50,0.6448598130841121,0.00989603618691589,0.15005800373831762,"{'4B': 30, '120B': 77}"
post_scout,none,75,0.6448598130841121,0.00989603618691589,-0.09734290093457965,"{'4B': 30, '120B': 77}"
post_scout,none,100,0.6448598130841121,0.00989603618691589,-0.34474380560747686,"{'4B': 30, '120B': 77}"
post_scout,none,150,0.6448598130841121,0.00989603618691589,-0.8395456149532714,"{'4B': 30, '120B': 77}"
post_scout,none,200,0.6448598130841121,0.00989603618691589,-1.3343474242990658,"{'4B': 30, '120B': 77}"
input_only,none,0,0.7663551401869159,0.012236446822429909,0.7663551401869159,{'120B': 107}
input_only,none,5,0.7663551401869159,0.012236446822429909,0.7051729060747663,{'120B': 107}
input_only,none,10,0.7663551401869159,0.012236446822429909,0.6439906719626167,{'120B': 107}
input_only,none,15,0.7663551401869159,0.012236446822429909,0.5828084378504672,{'120B': 107}
input_only,none,20,0.7663551401869159,0.012236446822429909,0.5216262037383177,{'120B': 107}
input_only,none,25,0.7663551401869159,0.012236446822429909,0.4604439696261681,{'120B': 107}
input_only,none,30,0.7663551401869159,0.012236446822429909,0.3992617355140186,{'120B': 107}
input_only,none,35,0.7663551401869159,0.012236446822429909,0.33807950140186904,{'120B': 107}
input_only,none,40,0.7663551401869159,0.012236446822429909,0.27689726728971953,{'120B': 107}
input_only,none,50,0.7663551401869159,0.012236446822429909,0.1545327990654204,{'120B': 107}
input_only,none,75,0.7663551401869159,0.012236446822429909,-0.1513783714953273,{'120B': 107}
input_only,none,100,0.7663551401869159,0.012236446822429909,-0.4572895420560751,{'120B': 107}
input_only,none,150,0.7663551401869159,0.012236446822429909,-1.0691118831775706,{'120B': 107}
input_only,none,200,0.7663551401869159,0.012236446822429909,-1.6809342242990661,{'120B': 107}
post_scout,mean,0,0.6448598130841121,0.00989603618691589,0.6448598130841121,"{'4B': 30, '120B': 77}"
post_scout,mean,5,0.5233644859813084,0.007506813476635516,0.4858304185981308,"{'4B': 36, '20B': 20, '120B': 51}"
post_scout,mean,10,0.514018691588785,0.002139806130841122,0.4926206302803738,"{'4B': 41, '20B': 66}"
post_scout,mean,15,0.5046728971962616,0.0021037133551401873,0.4731171968691588,"{'4B': 44, '20B': 63}"
post_scout,mean,20,0.514018691588785,0.002090990439252337,0.47219888280373823,"{'4B': 45, '20B': 62}"
post_scout,mean,25,0.5046728971962616,0.002018270719626169,0.4542161292056074,"{'4B': 50, '20B': 57}"
post_scout,mean,30,0.514018691588785,0.0019931041121495335,0.454225568224299,"{'4B': 52, '20B': 55}"
post_scout,mean,35,0.514018691588785,0.0019742139813084124,0.4449212022429906,"{'4B': 54, '20B': 53}"
post_scout,mean,40,0.48598130841121495,0.0017340689439252347,0.41661855065420555,"{'4B': 64, '20B': 43}"
post_scout,mean,50,0.2803738317757009,0.00027524338317757,0.2666116626168224,{'4B': 107}
post_scout,mean,75,0.2803738317757009,0.00027524338317757,0.25973057803738314,{'4B': 107}
post_scout,mean,100,0.2803738317757009,0.00027524338317757,0.2528494934579439,{'4B': 107}
post_scout,mean,150,0.2803738317757009,0.00027524338317757,0.2390873242990654,{'4B': 107}
post_scout,mean,200,0.2803738317757009,0.00027524338317757,0.22532515514018692,{'4B': 107}
input_only,mean,0,0.7663551401869159,0.012236446822429909,0.7663551401869159,{'120B': 107}
input_only,mean,5,0.5981308411214953,0.008272133467289718,0.5567701737850467,"{'20B': 46, '120B': 61}"
input_only,mean,10,0.5420560747663551,0.0026967361401869154,0.5150887133644859,{'20B': 107}
input_only,mean,15,0.5420560747663551,0.0026967361401869154,0.5016050326635514,{'20B': 107}
input_only,mean,20,0.5420560747663551,0.0026967361401869154,0.4881213519626168,{'20B': 107}
input_only,mean,25,0.5420560747663551,0.0026967361401869154,0.4746376712616822,{'20B': 107}
input_only,mean,30,0.5420560747663551,0.002632960355140186,0.4630672641121495,"{'4B': 4, '20B': 103}"
input_only,mean,35,0.5046728971962616,0.0020587073551401867,0.4326181397663551,"{'4B': 29, '20B': 78}"
input_only,mean,40,0.45794392523364486,0.0019096740934579437,0.38155696149532714,"{'4B': 41, '20B': 66}"
input_only,mean,50,0.2803738317757009,0.00027524338317757,0.2666116626168224,{'4B': 107}
input_only,mean,75,0.2803738317757009,0.00027524338317757,0.25973057803738314,{'4B': 107}
input_only,mean,100,0.2803738317757009,0.00027524338317757,0.2528494934579439,{'4B': 107}
input_only,mean,150,0.2803738317757009,0.00027524338317757,0.2390873242990654,{'4B': 107}
input_only,mean,200,0.2803738317757009,0.00027524338317757,0.22532515514018692,{'4B': 107}
post_scout,true,0,0.6448598130841121,0.00989603618691589,0.6448598130841121,"{'4B': 30, '120B': 77}"
post_scout,true,5,0.5700934579439252,0.004136861355140187,0.5494091511682242,"{'4B': 33, '20B': 40, '120B': 34}"
post_scout,true,10,0.514018691588785,0.0019237477383177571,0.49478121420560744,"{'4B': 39, '20B': 57, '30B': 2, '120B': 9}"
post_scout,true,15,0.514018691588785,0.0015492795327102806,0.4907794985981308,"{'4B': 42, '20B': 57, '30B': 6, '120B': 2}"
post_scout,true,20,0.5046728971962616,0.001458591327102804,0.47550107065420555,"{'4B': 43, '20B': 58, '30B': 5, '120B': 1}"
post_scout,true,25,0.48598130841121495,0.0012555490841121492,0.45459258130841124,"{'4B': 49, '20B': 53, '30B': 4, '120B': 1}"
post_scout,true,30,0.48598130841121495,0.0011133253831775698,0.45258154691588787,"{'4B': 54, '20B': 49, '30B': 3, '120B': 1}"
post_scout,true,35,0.4953271028037383,0.0009916834392523363,0.46061818242990654,"{'4B': 59, '20B': 45, '30B': 3}"
post_scout,true,40,0.4953271028037383,0.0009541843271028036,0.45715972971962615,"{'4B': 61, '20B': 44, '30B': 2}"
