lambda,q_mean_reward,q_mean_cost,q_cost_pct_of_20b,q_cost_pct_of_120b,same_route_mix_random_reward,same_route_mix_random_cost,q_reward_lift_vs_same_route_mix_random,q_delta_vs_scout,same_route_mix_delta_vs_scout,q_delta_lift_vs_same_route_mix_random,random_frontier_reward_at_q_cost,random_frontier_cost_at_q_cost,q_reward_lift_vs_direct_random_frontier,same_route_mix_permutation_reward_mean,same_route_mix_permutation_reward_std,same_route_mix_permutation_reward_z,same_route_mix_permutation_p_ge_q_reward,non_scout_call_rate,non_scout_selected_delta_vs_scout_mean,non_scout_selected_incremental_cost_mean,choice_counts_by_route,direct_random_frontier_label
0.0,0.40559440559440557,0.009137211993006994,303.4953536219778,65.70531567195619,0.42586434544476504,0.009473143692209886,-0.020269939850359464,0.11538461538461539,0.13565455523497483,-0.020269939850359436,0.43720615042372196,0.009137211993006994,-0.03161174482931639,0.4257160839160839,0.013628954845886289,-1.4763918839860106,0.9442111577684463,0.8321678321678322,0.13865546218487396,0.010665372285714285,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 48, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 64, ""solver:openai/gpt-oss-120b"": 174, ""solver:openai/gpt-oss-20b"": 0}",0.4980*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct + 0.5020*solver:openai/gpt-oss-120b
5.0,0.3916083916083916,0.006048597174825174,200.90604660320886,43.49521353434206,0.38728055161621594,0.006797304348354441,0.004327839992175675,0.10139860139860139,0.09707076140642575,0.004327839992175647,0.4146546608969401,0.006048597174825174,-0.02304626928854847,0.38717482517482515,0.014570889541997353,0.30427561891727267,0.41551689662067587,0.6048951048951049,0.1676300578034682,0.009566559341040462,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 113, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 24, ""solver:openai/gpt-oss-120b"": 125, ""solver:openai/gpt-oss-20b"": 24}",0.8204*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct + 0.1796*solver:openai/gpt-oss-120b
10.0,0.3706293706293706,0.004848357744755245,161.03971860962616,34.864341152807164,0.37363685265783164,0.005382854303425595,-0.003007482028461017,0.08041958041958042,0.08342706244804146,-0.003007482028461045,0.4058911249657143,0.004848357744755245,-0.035261754336343654,0.37374195804195803,0.01505988500742916,-0.20668068919861904,0.6316736652669466,0.5699300699300699,0.1411042944785276,0.008047523245398772,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 123, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 19, ""solver:openai/gpt-oss-120b"": 91, ""solver:openai/gpt-oss-20b"": 53}",0.9458*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct + 0.0542*solver:openai/gpt-oss-120b
15.0,0.36363636363636365,0.004140309097902099,137.52166139231304,29.772792451935107,0.3651278791138931,0.004574130825847229,-0.0014915154775294592,0.07342657342657342,0.0749180889041029,-0.0014915154775294731,0.4000975339246509,0.004140309097902099,-0.03646117028828727,0.36524545454545454,0.0146031735216533,-0.1101877551961541,0.5900819836032793,0.541958041958042,0.13548387096774195,0.007156415329032257,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 131, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 9, ""solver:openai/gpt-oss-120b"": 73, ""solver:openai/gpt-oss-20b"": 73}",0.1430*solver:openai/gpt-oss-20b + 0.8570*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct
20.0,0.35664335664335667,0.0031805442237762237,105.64277097259695,22.87116271262742,0.3564232969827375,0.003692991420093892,0.00022005966061916515,0.06643356643356643,0.06621350677294734,0.00022005966061909576,0.3899143737100855,0.0031805442237762237,-0.03327101706672886,0.3565622377622377,0.014594567166485451,0.005558156003778297,0.5496900619876025,0.5174825174825175,0.12837837837837837,0.005640213662162162,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 138, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 6, ""solver:openai/gpt-oss-120b"": 52, ""solver:openai/gpt-oss-20b"": 90}",0.8711*solver:openai/gpt-oss-20b + 0.1289*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct
25.0,0.35664335664335667,0.0026658749405594406,88.54786978963303,19.170197062897607,0.35202210377035553,0.0032312653918406768,0.004621252873001136,0.06643356643356643,0.06181231356056531,0.004621252873001122,0.3758320548908583,0.002665874940559441,-0.019188698247501634,0.35223006993006994,0.014360821845168145,0.30731435574292165,0.4285142971405719,0.506993006993007,0.1310344827586207,0.0047417669448275865,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 141, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 41, ""solver:openai/gpt-oss-20b"": 101}",0.1254*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8746*solver:openai/gpt-oss-20b
30.0,0.36363636363636365,0.002290096944055944,76.0662861271908,16.46799294398978,0.3485989534940584,0.0028268587563817305,0.015037410142305252,0.07342657342657342,0.05838916328426818,0.015037410142305245,0.3624483644425631,0.002290096944055944,0.0011879991938005263,0.34839160839160843,0.014157342225568942,1.0768091215046243,0.17156568686262746,0.5034965034965035,0.14583333333333334,0.004028359027777778,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 142, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 31, ""solver:openai/gpt-oss-20b"": 113}",0.2621*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.7379*solver:openai/gpt-oss-20b
35.0,0.36363636363636365,0.0020327718671328673,67.51915322972253,14.617578898383625,0.3455670203921953,0.002502861595664825,0.018069343244168368,0.07342657342657342,0.05535723018240501,0.018069343244168416,0.35328348729124714,0.0020327718671328673,0.010352876345116502,0.34567132867132866,0.01369529850119104,1.3117665864291035,0.11717656468706258,0.4965034965034965,0.14788732394366197,0.003566822028169014,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 144, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 23, ""solver:openai/gpt-oss-20b"": 119}",0.3557*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6443*solver:openai/gpt-oss-20b
40.0,0.35664335664335667,0.0015974626013986015,53.06021984390902,11.487287870673253,0.3416059465010514,0.0020930595025673636,0.015037410142305252,0.06643356643356643,0.05139615629126119,0.015037410142305245,0.3377795341165757,0.0015974626013986013,0.018863822526780982,0.3411601398601399,0.013503949520345938,1.1465695098969941,0.15056988602279545,0.486013986013986,0.1366906474820144,0.0027481314964028776,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 147, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 13, ""solver:openai/gpt-oss-20b"": 126}",0.5141*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4859*solver:openai/gpt-oss-20b
45.0,0.35664335664335667,0.001396591437062937,46.38822130659061,10.042831588804198,0.33886742628001365,0.0018071591658394062,0.017775930363343018,0.06643356643356643,0.048657636070223484,0.01777593036334295,0.3306253167103627,0.001396591437062937,0.026018039932993953,0.3389958041958043,0.01335580680571419,1.3213393023925752,0.11497700459908018,0.479020979020979,0.1386861313868613,0.002368913321167883,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 149, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 6, ""solver:openai/gpt-oss-20b"": 131}",0.5872*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4128*solver:openai/gpt-oss-20b
