selection_cost_mode,lambda,best_always_policy,best_always_utility,cascade_utility,best_existing_q_policy,best_existing_q_utility,best_cached_q_policy,best_cached_q_utility,best_cached_q_minus_existing_q,best_cached_q_minus_always,best_cached_q_minus_cascade,best_latest_chain_policy,best_latest_chain_utility,best_cached_chain_policy,best_cached_chain_utility,best_cached_chain_minus_latest_chain
fixed_train_mean,0.0,always::solver:openai/gpt-oss-120b,0.47202797202797203,0.44405594405594406,state_policy::flexible_latest_max4,0.43356643356643354,state_policy::flexible_cached_best_attempt_max4,0.43006993006993005,-0.003496503496503489,-0.04195804195804198,-0.013986013986014012,state_policy::flexible_latest_max4,0.43356643356643354,state_policy::flexible_cached_best_attempt_max4,0.43006993006993005,-0.003496503496503489
fixed_train_mean,5.0,always::solver:openai/gpt-oss-120b,0.40249621573426575,0.34523427304195803,state_policy::forced_scout_latest_max4,0.3693732366783217,state_policy::flexible_cached_best_attempt_max4,0.3657882973601399,-0.0035849393181818234,-0.03670791837412585,0.020554024318181874,state_policy::forced_scout_latest_max4,0.3693732366783217,state_policy::flexible_cached_best_attempt_max4,0.3657882973601399,-0.0035849393181818234
fixed_train_mean,10.0,always::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.3588094601398601,0.31284616846153845,state_policy::flexible_latest_max4,0.3382533992657343,state_policy::flexible_cached_best_attempt_max4,0.33584332884615387,-0.0024100704195804123,-0.022966131293706227,0.02299716038461541,state_policy::flexible_latest_max4,0.3382533992657343,state_policy::flexible_cached_best_attempt_max4,0.33584332884615387,-0.0024100704195804123
fixed_train_mean,15.0,always::solver:openai/gpt-oss-20b,0.34295199414335664,0.32859655265734267,state_policy::input_only_direct,0.3030347550174825,state_policy::input_only_direct,0.3030347550174825,0.0,-0.03991723912587414,-0.025561797639860162,state_policy::flexible_latest_max4,0.2952567754895105,state_policy::flexible_cached_best_attempt_max4,0.2853501896503497,-0.00990658583916082
fixed_train_mean,20.0,always::solver:openai/gpt-oss-20b,0.32789869615384615,0.31342011216783217,state_policy::input_only_direct,0.283868859020979,state_policy::input_only_direct,0.283868859020979,0.0,-0.04402983713286712,-0.02955125314685314,state_policy::forced_scout_latest_max4,0.2711550267832168,state_policy::forced_scout_cached_best_attempt_max4,0.2682897421678322,-0.0028652846153846
fixed_train_mean,25.0,always::solver:openai/gpt-oss-20b,0.31284539816433565,0.29824367167832166,state_policy::input_only_direct,0.2869670002622378,state_policy::input_only_direct,0.2869670002622378,0.0,-0.02587839790209784,-0.01127667141608385,state_policy::forced_scout_latest_max4,0.2629763047202797,state_policy::forced_scout_cached_best_attempt_max4,0.2629763047202797,0.0
fixed_train_mean,30.0,always::solver:openai/gpt-oss-20b,0.29779210017482516,0.28306723118881116,state_policy::input_only_direct,0.28925356139860137,state_policy::input_only_direct,0.28925356139860137,0.0,-0.008538538776223792,0.006186330209790203,state_policy::flexible_latest_max4,0.2610243327272727,state_policy::flexible_cached_best_attempt_max4,0.25100401384615384,-0.010020318881118873
fixed_train_mean,35.0,always::solver:openai/gpt-oss-20b,0.2827388021853146,0.26789079069930066,state_policy::input_only_direct,0.30316662645104897,state_policy::input_only_direct,0.30316662645104897,0.0,0.020427824265734362,0.03527583575174831,state_policy::flexible_latest_max4,0.27864331790209795,state_policy::flexible_cached_best_attempt_max4,0.27593553328671333,-0.002707784615384623
fixed_train_mean,40.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2797364998601399,0.25271435020979016,state_policy::input_only_direct,0.29560263132867126,state_policy::input_only_direct,0.29560263132867126,0.0,0.015866131468531386,0.0428882811188811,state_policy::flexible_latest_max4,0.28349930489510494,state_policy::flexible_cached_best_attempt_max4,0.28090419440559444,-0.0025951104895104993
fixed_train_mean,50.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.27711817727272725,0.22236146923076922,state_policy::input_only_direct,0.2883688358391608,state_policy::input_only_direct,0.2883688358391608,0.0,0.011250658566433536,0.06600736660839157,state_policy::flexible_latest_max4,0.2752485118881119,state_policy::flexible_cached_best_attempt_max4,0.2740176587412587,-0.0012308531468531725
fixed_train_mean,75.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2705723708041958,0.2705723708041958,state_policy::input_only_direct,0.25961900201048954,state_policy::input_only_direct,0.25961900201048954,0.0,-0.010953368793706286,-0.010953368793706286,state_policy::forced_scout_latest_max4,0.2572835967657343,state_policy::forced_scout_cached_best_attempt_max4,0.2572835967657343,0.0
fixed_train_mean,100.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.26402656433566435,0.26402656433566435,state_policy::input_only_direct,0.25066579615384615,state_policy::input_only_direct,0.25066579615384615,0.0,-0.013360768181818194,-0.013360768181818194,state_policy::forced_scout_latest_max4,0.23980076468531475,state_policy::forced_scout_cached_best_attempt_max4,0.23980076468531475,0.0
fixed_train_mean,150.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2509349513986014,0.2509349513986014,state_policy::input_only_direct,0.21547052412587409,state_policy::input_only_direct,0.21547052412587409,0.0,-0.035464427272727306,-0.035464427272727306,state_policy::forced_scout_latest_max4,0.2059025835664336,state_policy::forced_scout_cached_best_attempt_max4,0.2059025835664336,0.0
fixed_train_mean,200.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2378433384615385,0.23784333846153846,state_policy::input_only_direct,0.19192561608391606,state_policy::input_only_direct,0.19192561608391606,0.0,-0.04591772237762243,-0.0459177223776224,state_policy::forced_scout_latest_max4,0.18263768461538463,state_policy::forced_scout_cached_best_attempt_max4,0.18263768461538463,0.0
predicted_expert_fixed_scout,0.0,always::solver:openai/gpt-oss-120b,0.47202797202797203,0.44405594405594406,state_policy::flexible_latest_max4,0.43356643356643354,state_policy::flexible_cached_best_attempt_max4,0.43006993006993005,-0.003496503496503489,-0.04195804195804198,-0.013986013986014012,state_policy::flexible_latest_max4,0.43356643356643354,state_policy::flexible_cached_best_attempt_max4,0.43006993006993005,-0.003496503496503489
predicted_expert_fixed_scout,5.0,always::solver:openai/gpt-oss-120b,0.40249621573426575,0.34523427304195803,state_policy::flexible_latest_max4,0.36804330370629373,state_policy::flexible_cached_best_attempt_max4,0.36857129582167836,0.0005279921153846234,-0.03392491991258739,0.02333702277972033,state_policy::flexible_latest_max4,0.36804330370629373,state_policy::flexible_cached_best_attempt_max4,0.36857129582167836,0.0005279921153846234
predicted_expert_fixed_scout,10.0,always::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.3588094601398601,0.31284616846153845,state_policy::flexible_latest_max4,0.3257848182167832,state_policy::input_only_direct,0.32214579318181813,-0.003639025034965049,-0.03666366695804196,0.009299624720279676,state_policy::flexible_latest_max4,0.3257848182167832,state_policy::flexible_cached_best_attempt_max4,0.31994029234265736,-0.005844525874125817
predicted_expert_fixed_scout,15.0,always::solver:openai/gpt-oss-20b,0.34295199414335664,0.32859655265734267,state_policy::input_only_direct,0.30153172716783216,state_policy::input_only_direct,0.30153172716783216,0.0,-0.04142026697552448,-0.027064825489510502,state_policy::flexible_latest_max4,0.29537404821678326,state_policy::flexible_cached_best_attempt_max4,0.2920921852797203,-0.0032818629370629515
predicted_expert_fixed_scout,20.0,always::solver:openai/gpt-oss-20b,0.32789869615384615,0.31342011216783217,state_policy::input_only_direct,0.29303247216783224,state_policy::input_only_direct,0.29303247216783224,0.0,-0.03486622398601391,-0.02038763999999993,state_policy::flexible_latest_max4,0.28333586734265737,state_policy::flexible_cached_best_attempt_max4,0.2764888743356644,-0.006846993006992985
predicted_expert_fixed_scout,25.0,always::solver:openai/gpt-oss-20b,0.31284539816433565,0.29824367167832166,state_policy::input_only_direct,0.2899964831293707,state_policy::input_only_direct,0.2899964831293707,0.0,-0.022848915034964945,-0.008247188548950957,state_policy::flexible_latest_max4,0.26814756660839156,state_policy::forced_scout_cached_best_attempt_max4,0.26622730839160835,-0.0019202582167832105
