run_name,route_idx,route_label,bucket_idx,bucket_low,bucket_high,n,mean_pred,mean_true,bias,mae,rmse
vector,0,primary_model,0,0.0,0.1,52,0.0,0.14172700276741615,-0.14172700276741615,0.14172700276741615,0.27279900007318375
vector,0,primary_model,1,0.1,0.2,0,,,,,
vector,0,primary_model,2,0.2,0.30000000000000004,0,,,,,
vector,0,primary_model,3,0.30000000000000004,0.4,0,,,,,
vector,0,primary_model,4,0.4,0.5,6,0.4183333333333334,0.2903921703497569,0.12794116298357647,0.1613723607858022,0.18271167041480096
vector,0,primary_model,5,0.5,0.6000000000000001,59,0.5415254237288135,0.48733543857174405,0.0541899851570695,0.18135046069399785,0.22610679520182583
vector,0,primary_model,6,0.6000000000000001,0.7000000000000001,55,0.6552727272727271,0.6100725835019892,0.045200143770738097,0.18113821051337506,0.23244399009732392
vector,0,primary_model,7,0.7000000000000001,0.8,217,0.7502764976958526,0.6540108847727973,0.09626561292305522,0.19606046536001742,0.25005234384910907
vector,0,primary_model,8,0.8,0.9,21,0.8685714285714287,0.7036172541834059,0.16495417438802268,0.240777243687993,0.34753523581327334
vector,0,primary_model,9,0.9,1.0,90,0.9314444444444444,0.8427699140376514,0.08867453040679296,0.1388838994834158,0.20580550559370356
vector,1,expert_0:openai/gpt-oss-120b,0,0.0,0.1,412,0.0,0.3088553333067272,-0.3088553333067272,0.3088553333067272,0.38458232459631253
vector,1,expert_0:openai/gpt-oss-120b,1,0.1,0.2,2,0.15,0.2142440229654312,-0.0642440229654312,0.2142440229654312,0.22366894255393407
vector,1,expert_0:openai/gpt-oss-120b,2,0.2,0.30000000000000004,45,0.25200000000000006,0.31236655828025606,-0.060366558280256055,0.18077369666761822,0.2260324381655361
vector,1,expert_0:openai/gpt-oss-120b,3,0.30000000000000004,0.4,15,0.328,0.2627540210882823,0.06524597891171774,0.1676544021765391,0.20159894074300835
vector,1,expert_0:openai/gpt-oss-120b,4,0.4,0.5,24,0.42791666666666667,0.3952295122047265,0.03268715446194013,0.20030859862764674,0.23853778522801686
vector,1,expert_0:openai/gpt-oss-120b,5,0.5,0.6000000000000001,2,0.555,0.5184530019760132,0.036546998023986865,0.1640469980239868,0.16806873779869722
vector,1,expert_0:openai/gpt-oss-120b,6,0.6000000000000001,0.7000000000000001,0,,,,,
vector,1,expert_0:openai/gpt-oss-120b,7,0.7000000000000001,0.8,0,,,,,
vector,1,expert_0:openai/gpt-oss-120b,8,0.8,0.9,0,,,,,
vector,1,expert_0:openai/gpt-oss-120b,9,0.9,1.0,0,,,,,
scalar,0,primary_model,0,0.0,0.1,48,0.0,0.11495928807804982,-0.11495928807804982,0.11495928807804982,0.24070105093739194
scalar,0,primary_model,1,0.1,0.2,0,,,,,
scalar,0,primary_model,2,0.2,0.30000000000000004,4,0.2725,0.20030073821544647,0.07219926178455352,0.11728494405746459,0.14003427449608108
scalar,0,primary_model,3,0.30000000000000004,0.4,2,0.324,0.530186116695404,-0.20618611669540404,0.20618611669540404,0.2096868927479081
scalar,0,primary_model,4,0.4,0.5,16,0.432875,0.39336820179596543,0.03950679820403456,0.1604379568360746,0.1835652356479571
scalar,0,primary_model,5,0.5,0.6000000000000001,37,0.5837837837837839,0.4663907939920554,0.11739298979172834,0.23844373975090072,0.27738416265621274
scalar,0,primary_model,6,0.6000000000000001,0.7000000000000001,138,0.6451956521739131,0.5845441318832446,0.060651520290668476,0.18455847404702846,0.23609815651602828
scalar,0,primary_model,7,0.7000000000000001,0.8,88,0.7644204545454546,0.6584840596399524,0.10593639490550216,0.15178449638052421,0.1971300444919941
scalar,0,primary_model,8,0.8,0.9,76,0.8283815789473683,0.7462633426644301,0.08211823628293836,0.17285820039165645,0.236048149588047
scalar,0,primary_model,9,0.9,1.0,91,0.9381978021978021,0.8538998200015707,0.08429798219623148,0.1319438455825324,0.21585492189831915
scalar,1,expert_0:openai/gpt-oss-120b,0,0.0,0.1,299,0.0,0.2969690970889601,-0.2969690970889601,0.2969690970889601,0.3711615973486083
scalar,1,expert_0:openai/gpt-oss-120b,1,0.1,0.2,0,,,,,
scalar,1,expert_0:openai/gpt-oss-120b,2,0.2,0.30000000000000004,54,0.27201851851851855,0.24946828945367425,0.02255022906484427,0.15332989694122914,0.18549821765108424
scalar,1,expert_0:openai/gpt-oss-120b,3,0.30000000000000004,0.4,40,0.3487,0.3367020030505955,0.011997996949404479,0.17490674570724368,0.21411048408777905
scalar,1,expert_0:openai/gpt-oss-120b,4,0.4,0.5,94,0.43462765957446803,0.38420171623534344,0.05042594333912463,0.2181686773807445,0.2641185520655758
scalar,1,expert_0:openai/gpt-oss-120b,5,0.5,0.6000000000000001,10,0.5799,0.3057072892785072,0.2741927107214928,0.2741927107214928,0.31236126004871
scalar,1,expert_0:openai/gpt-oss-120b,6,0.6000000000000001,0.7000000000000001,3,0.622,0.43064770102500916,0.19135229897499084,0.19135229897499084,0.2312148045614568
scalar,1,expert_0:openai/gpt-oss-120b,7,0.7000000000000001,0.8,0,,,,,
scalar,1,expert_0:openai/gpt-oss-120b,8,0.8,0.9,0,,,,,
scalar,1,expert_0:openai/gpt-oss-120b,9,0.9,1.0,0,,,,,
bin,0,primary_model,0,0.0,0.1,0,,,,,
bin,0,primary_model,1,0.1,0.2,20,0.16303798519074916,0.0,0.16303798519074916,0.16303798519074916,0.1644462806226716
bin,0,primary_model,2,0.2,0.30000000000000004,26,0.25467887635414416,0.18259718555670518,0.072081690797439,0.18178132749520814,0.20563344360246263
bin,0,primary_model,3,0.30000000000000004,0.4,51,0.3537875484017765,0.439389418007112,-0.08560186960533553,0.23369499295949936,0.2729655065151209
bin,0,primary_model,4,0.4,0.5,96,0.45467851497232914,0.5509492388616005,-0.09627072388927142,0.23180169550081095,0.2750502384174205
bin,0,primary_model,5,0.5,0.6000000000000001,166,0.5525973676198936,0.6937609496245901,-0.1411635820046965,0.2095063463392028,0.2520642786119691
bin,0,primary_model,6,0.6000000000000001,0.7000000000000001,132,0.6416486619096814,0.772165573343183,-0.13051691143350166,0.21656098386103456,0.24854896603567908
bin,0,primary_model,7,0.7000000000000001,0.8,9,0.7118744651476542,0.7585410376389822,-0.04666657249132792,0.19588247603840298,0.21653608000641186
bin,0,primary_model,8,0.8,0.9,0,,,,,
bin,0,primary_model,9,0.9,1.0,0,,,,,
bin,1,expert_0:openai/gpt-oss-120b,0,0.0,0.1,10,0.0893053188920021,0.3293596178293228,-0.24005429893732072,0.2590511903166771,0.33757628530370337
bin,1,expert_0:openai/gpt-oss-120b,1,0.1,0.2,146,0.15968704167498302,0.2887331666042135,-0.1290461249292305,0.1983452898845689,0.25118184297034196
bin,1,expert_0:openai/gpt-oss-120b,2,0.2,0.30000000000000004,249,0.24592777751535777,0.3030889705945569,-0.05716119307919918,0.18830159627439746,0.23362766618422265
bin,1,expert_0:openai/gpt-oss-120b,3,0.30000000000000004,0.4,84,0.33134712207885014,0.38880390407783644,-0.05745678199898629,0.1869906224310398,0.23303386611148807
bin,1,expert_0:openai/gpt-oss-120b,4,0.4,0.5,11,0.41714593226259405,0.23816227100112222,0.17898366126147183,0.27193435755642975,0.315208438163494
bin,1,expert_0:openai/gpt-oss-120b,5,0.5,0.6000000000000001,0,,,,,
bin,1,expert_0:openai/gpt-oss-120b,6,0.6000000000000001,0.7000000000000001,0,,,,,
bin,1,expert_0:openai/gpt-oss-120b,7,0.7000000000000001,0.8,0,,,,,
bin,1,expert_0:openai/gpt-oss-120b,8,0.8,0.9,0,,,,,
bin,1,expert_0:openai/gpt-oss-120b,9,0.9,1.0,0,,,,,
