policy,lambda_dollar,accounting,mean_true_reward,mean_true_cost_dollars,mean_true_utility,choice_counts_by_route
post_scout_pred_reward_true_cost,0,after_primary,0.42657342657342656,0.011694677223776222,0.42657342657342656,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
post_scout_pred_reward_true_cost,5,after_primary,0.3986013986013986,0.0039626024160839156,0.378788386520979,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 94, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 14, ""solver:openai/gpt-oss-120b"": 72, ""solver:openai/gpt-oss-20b"": 106}"
post_scout_pred_reward_true_cost,10,after_primary,0.3776223776223776,0.0020387967832167834,0.35723440979020976,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 105, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 24, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 145}"
post_scout_pred_reward_true_cost,15,after_primary,0.3776223776223776,0.0016204218391608393,0.353316050034965,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 117, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 25, ""solver:openai/gpt-oss-120b"": 2, ""solver:openai/gpt-oss-20b"": 142}"
post_scout_pred_reward_true_cost,20,after_primary,0.3741258741258741,0.001459573363636364,0.34493440685314686,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 138}"
post_scout_pred_reward_true_cost,25,after_primary,0.36713286713286714,0.001282375073426573,0.3350734902972028,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 140, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 15, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 130}"
post_scout_pred_reward_true_cost,30,after_primary,0.36713286713286714,0.0010697881853146852,0.3350392215734266,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 158, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 13, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 114}"
post_scout_pred_reward_true_cost,35,after_primary,0.3706293706293706,0.0009164710419580418,0.3385528841608392,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 174, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 8, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 104}"
post_scout_pred_reward_true_cost,40,after_primary,0.3706293706293706,0.0007955380699300699,0.33880784783216783,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 189, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 94}"
post_scout_pred_reward_true_cost,50,after_primary,0.34615384615384615,0.0006127322762237764,0.31551723234265733,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 214, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 2, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 70}"
post_scout_pred_reward_true_cost,75,after_primary,0.3146853146853147,0.0003884704370629372,0.2855500319055944,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 250, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 35}"
post_scout_pred_reward_true_cost,100,after_primary,0.3111888111888112,0.0003317284510489511,0.2780159660839161,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 264, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 22}"
post_scout_pred_reward_true_cost,150,after_primary,0.2937062937062937,0.0002657247167832166,0.2538475861888112,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 284, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 2}"
post_scout_pred_reward_true_cost,200,after_primary,0.2937062937062937,0.0002635036993006992,0.24100555384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
input_only_pred_reward_true_cost,0,direct,0.47202797202797203,0.013906351258741255,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
input_only_pred_reward_true_cost,5,direct,0.4230769230769231,0.005742966468531464,0.39436209073426576,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 1, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 13, ""solver:openai/gpt-oss-120b"": 150, ""solver:openai/gpt-oss-20b"": 122}"
input_only_pred_reward_true_cost,10,direct,0.40559440559440557,0.0025626836188811187,0.3799675694055944,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 5, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 25, ""solver:openai/gpt-oss-120b"": 35, ""solver:openai/gpt-oss-20b"": 221}"
input_only_pred_reward_true_cost,15,direct,0.4090909090909091,0.0019079279125874128,0.38047199040209795,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 14, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 26, ""solver:openai/gpt-oss-120b"": 8, ""solver:openai/gpt-oss-20b"": 238}"
input_only_pred_reward_true_cost,20,direct,0.3986013986013986,0.0017407695524475528,0.36378600755244755,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 20, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 25, ""solver:openai/gpt-oss-120b"": 3, ""solver:openai/gpt-oss-20b"": 238}"
input_only_pred_reward_true_cost,25,direct,0.4020979020979021,0.001567791440559441,0.36290311608391607,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 32, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 22, ""solver:openai/gpt-oss-120b"": 2, ""solver:openai/gpt-oss-20b"": 230}"
input_only_pred_reward_true_cost,30,direct,0.3916083916083916,0.0013892906258741265,0.3499296728321678,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 46, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 19, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 220}"
input_only_pred_reward_true_cost,35,direct,0.3881118881118881,0.0012683973286713292,0.3437179816083916,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 58, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 16, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 212}"
