instance_id,repo,label_gemini_beats_oss,real_scout,real_oss,real_gemini,proxy_delta_gemini_minus_oss,post_pred_delta_gemini_minus_oss,input_pred_delta_gemini_minus_oss,proxy_oss,proxy_gemini,post_pred_oss,post_pred_gemini,input_pred_oss,input_pred_gemini,post_calibrated_route_prior_delta_gemini_minus_oss,post_calibrated_route_prior_oss,post_calibrated_route_prior_gemini,post_calibrated_route_scalar_delta_gemini_minus_oss,post_calibrated_route_scalar_oss,post_calibrated_route_scalar_gemini,post_calibrated_route_vector_delta_gemini_minus_oss,post_calibrated_route_vector_oss,post_calibrated_route_vector_gemini,input_calibrated_route_prior_delta_gemini_minus_oss,input_calibrated_route_prior_oss,input_calibrated_route_prior_gemini,input_calibrated_route_scalar_delta_gemini_minus_oss,input_calibrated_route_scalar_oss,input_calibrated_route_scalar_gemini,input_calibrated_route_vector_delta_gemini_minus_oss,input_calibrated_route_vector_oss,input_calibrated_route_vector_gemini
astropy__astropy-12907,astropy/astropy,1,0,0,1,0.6523476523476524,0.0986328125,0.083984375,0.3021978021978022,0.9545454545454546,0.2451171875,0.34375,0.34375,0.427734375,-0.009009009009008917,0.5698198198198198,0.5608108108108109,-0.00907710339588308,0.5693614927427786,0.5602843893468955,-0.008916673170183964,0.5681185113407891,0.5592018381706051,-0.009009009009008917,0.5698198198198198,0.5608108108108109,-0.00905362794262854,0.5701350573582008,0.5610814294155723,-0.009056458819615476,0.5701469769122213,0.5610905180926058
astropy__astropy-7671,astropy/astropy,0,0,1,0,-0.10471757986037655,0.115234375,0.09375,0.4482758620689655,0.34355828220858897,0.462890625,0.578125,0.353515625,0.447265625,-0.05429864253393668,0.5678733031674208,0.5135746606334841,-0.05433063556485229,0.5687034723728577,0.5143728368080054,-0.054786025105930336,0.5700008016749999,0.5152147765690696,-0.05429864253393668,0.5678733031674208,0.5135746606334841,-0.05450304066942824,0.568205654006471,0.5137026133370428,-0.05455185736712642,0.5682798897558227,0.5137280323886962
django__django-11099,django/django,0,1,1,0,-0.323373194595434,0.00390625,0.046875,0.948905109489051,0.625531914893617,0.56640625,0.5703125,0.419921875,0.466796875,-0.009009009009008917,0.5698198198198198,0.5608108108108109,-0.009447404636076295,0.5711350767637516,0.5616876721276753,-0.009281322253815727,0.5724745126761558,0.5631931904223401,-0.009009009009008917,0.5698198198198198,0.5608108108108109,-0.009092964147009108,0.570300394597912,0.5612074304509029,-0.009053962298546603,0.5705639356734992,0.5615099733749526
django__django-11276,django/django,0,0,1,0,-0.10952209467682708,0.08203125,0.09765625,0.20790629575402636,0.09838420107719928,0.4296875,0.51171875,0.380859375,0.478515625,-0.054054054054053946,0.5653153153153152,0.5112612612612613,-0.054344460645109005,0.565854324562133,0.511509863917024,-0.054362302101976456,0.5660048552723135,0.511642553170337,-0.054054054054053946,0.5653153153153152,0.5112612612612613,-0.05426042832733058,0.5656584125554766,0.511397984228146,-0.05431814180840411,0.5657578443055703,0.5114397024971662
django__django-11603,django/django,0,1,1,0,-0.33063710483065323,0.0078125,0.072265625,0.9280397022332506,0.5974025974025974,0.5,0.5078125,0.4140625,0.486328125,-0.04504504504504514,0.6103603603603603,0.5653153153153152,-0.045731799150029784,0.61157387468914,0.5658420755391103,-0.04539227335058016,0.6122933584880066,0.5669010851374264,-0.04504504504504514,0.6103603603603603,0.5653153153153152,-0.0452311432462309,0.6109973079900674,0.5657661647438365,-0.045268553932622524,0.6112265243108533,0.5659579703782308
django__django-11964,django/django,1,0,0,1,0.5890299136296608,0.064453125,0.0625,0.19554455445544555,0.7845744680851063,0.37109375,0.435546875,0.427734375,0.490234375,-0.009009009009008917,0.5698198198198198,0.5608108108108109,-0.009204046665002519,0.5700571249233457,0.5608530782583432,-0.009031176888362413,0.5697371603851701,0.5607059834968077,-0.009009009009008917,0.5698198198198198,0.5608108108108109,-0.00903432409232141,0.570317351377398,0.5612830272850766,-0.009036889231257228,0.5706250132146621,0.5615881239834049
django__django-12273,django/django,1,0,0,1,0.04467438369250998,0.10546875,0.107421875,0.30756442227763925,0.3522388059701492,0.388671875,0.494140625,0.357421875,0.46484375,-0.054054054054053946,0.5653153153153152,0.5112612612612613,-0.054209887803240764,0.5656320686791559,0.5114221808759152,-0.05428685631703589,0.5656479574341533,0.5113611011171174,-0.054054054054053946,0.5653153153153152,0.5112612612612613,-0.05425254793392564,0.5656243794950534,0.5113718315611278,-0.05429433678316997,0.5656693352652963,0.5113749984821263
django__django-12708,django/django,0,0,1,0,-0.09799375350017725,0.109375,0.1015625,0.6992632283991963,0.601269474899019,0.43359375,0.54296875,0.32421875,0.42578125,-0.05429864253393668,0.5678733031674208,0.5135746606334841,-0.05437759856641766,0.5685232866895744,0.5141456881231568,-0.05469035674819911,0.5693309157930667,0.5146405590448676,-0.05429864253393668,0.5678733031674208,0.5135746606334841,-0.0545027656871967,0.5681335180627987,0.513630752375602,-0.05451986128736097,0.5680724134633321,0.5135525521759712
django__django-12741,django/django,0,0,1,0,-0.3163302413211817,0.015625,-0.005859375,0.7738511326860842,0.4575208913649025,0.380859375,0.396484375,0.1650390625,0.1591796875,-0.054054054054053946,0.5653153153153152,0.5112612612612613,-0.05465469101115905,0.5655897312300501,0.510935040218891,-0.054382764194096045,0.5655718153917122,0.5111890511976162,-0.054054054054053946,0.5653153153153152,0.5112612612612613,-0.054557884775454424,0.5653450014349348,0.5107871166594804,-0.054199966573747704,0.5647558687387816,0.5105559021650339
django__django-12754,django/django,0,0,1,0,-0.14135763000852516,0.08984375,0.103515625,0.27450980392156865,0.1331521739130435,0.33203125,0.421875,0.33203125,0.435546875,-0.04504504504504514,0.6103603603603603,0.5653153153153152,-0.045240745543048466,0.6105314148133586,0.5652906692703101,-0.04520350736202039,0.6102179126610158,0.5650144052989954,-0.04504504504504514,0.6103603603603603,0.5653153153153152,-0.045207660028450336,0.6108305191078086,0.5656228590793583,-0.045235175523007154,0.6107938203411936,0.5655586448181864
