selection_cost_mode,lambda,best_always_policy,best_always_utility,cascade_utility,best_existing_q_policy,best_existing_q_utility,best_attempt_q_policy,best_attempt_q_utility,best_attempt_q_minus_existing_q,best_attempt_q_minus_always,best_attempt_q_minus_cascade,best_chain_latest_policy,best_chain_latest_utility,best_chain_best_attempt_policy,best_chain_best_attempt_utility,best_chain_best_attempt_minus_latest_chain
fixed_train_mean,0.0,always::solver:openai/gpt-oss-120b,0.47202797202797203,0.44405594405594406,state_policy::flexible_latest_max4,0.43356643356643354,state_policy::forced_scout_best_attempt_max4,0.4160839160839161,-0.017482517482517446,-0.05594405594405594,-0.02797202797202797,state_policy::flexible_latest_max4,0.43356643356643354,state_policy::forced_scout_best_attempt_max4,0.4160839160839161,-0.017482517482517446
fixed_train_mean,5.0,always::solver:openai/gpt-oss-120b,0.40249621573426575,0.34523427304195803,state_policy::forced_scout_latest_max4,0.3693732366783217,state_policy::input_only_direct,0.3562943503146853,-0.01307888636363641,-0.046201865419580435,0.011060077272727287,state_policy::forced_scout_latest_max4,0.3693732366783217,state_policy::forced_scout_best_attempt_max4,0.3495836081818182,-0.01978962849650351
fixed_train_mean,10.0,always::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.3588094601398601,0.31284616846153845,state_policy::flexible_latest_max4,0.3382533992657343,state_policy::input_only_direct,0.3283694946853147,-0.0098839045804196,-0.030439965454545415,0.015523326223776224,state_policy::flexible_latest_max4,0.3382533992657343,state_policy::flexible_best_attempt_max4,0.31584508461538463,-0.022408314650349648
fixed_train_mean,15.0,always::solver:openai/gpt-oss-20b,0.34295199414335664,0.32859655265734267,state_policy::input_only_direct,0.3030347550174825,state_policy::input_only_direct,0.3030347550174825,0.0,-0.03991723912587414,-0.025561797639860162,state_policy::flexible_latest_max4,0.2952567754895105,state_policy::flexible_best_attempt_max4,0.27321267732517485,-0.022044098164335668
fixed_train_mean,20.0,always::solver:openai/gpt-oss-20b,0.32789869615384615,0.31342011216783217,state_policy::input_only_direct,0.283868859020979,state_policy::input_only_direct,0.283868859020979,0.0,-0.04402983713286712,-0.02955125314685314,state_policy::forced_scout_latest_max4,0.2711550267832168,state_policy::forced_scout_best_attempt_max4,0.2573828421678322,-0.013772184615384597
fixed_train_mean,25.0,always::solver:openai/gpt-oss-20b,0.31284539816433565,0.29824367167832166,state_policy::input_only_direct,0.2869670002622378,state_policy::input_only_direct,0.2869670002622378,0.0,-0.02587839790209784,-0.01127667141608385,state_policy::forced_scout_latest_max4,0.2629763047202797,state_policy::forced_scout_best_attempt_max4,0.2524867942307692,-0.010489510489510523
fixed_train_mean,30.0,always::solver:openai/gpt-oss-20b,0.29779210017482516,0.28306723118881116,state_policy::input_only_direct,0.28925356139860137,state_policy::input_only_direct,0.28925356139860137,0.0,-0.008538538776223792,0.006186330209790203,state_policy::flexible_latest_max4,0.2610243327272727,state_policy::flexible_best_attempt_max4,0.24575052013986015,-0.01527381258741256
fixed_train_mean,35.0,always::solver:openai/gpt-oss-20b,0.2827388021853146,0.26789079069930066,state_policy::input_only_direct,0.30316662645104897,state_policy::input_only_direct,0.30316662645104897,0.0,0.020427824265734362,0.03527583575174831,state_policy::flexible_latest_max4,0.27864331790209795,state_policy::flexible_best_attempt_max4,0.26973976265734273,-0.008903555244755224
fixed_train_mean,40.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2797364998601399,0.25271435020979016,state_policy::input_only_direct,0.29560263132867126,state_policy::input_only_direct,0.29560263132867126,0.0,0.015866131468531386,0.0428882811188811,state_policy::flexible_latest_max4,0.28349930489510494,state_policy::flexible_best_attempt_max4,0.2748223146853147,-0.008676990209790236
fixed_train_mean,50.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.27711817727272725,0.22236146923076922,state_policy::input_only_direct,0.2883688358391608,state_policy::input_only_direct,0.2883688358391608,0.0,0.011250658566433536,0.06600736660839157,state_policy::flexible_latest_max4,0.2752485118881119,state_policy::flexible_best_attempt_max4,0.2670246517482517,-0.008223860139860206
