run_name,route_idx,route_label,bucket_idx,bucket_low,bucket_high,n,mean_pred,mean_true,bias,mae,rmse
vector,0,primary_model,0,0.0,0.05,52,0.0,0.14172700276741615,-0.14172700276741615,0.14172700276741615,0.27279900007318375
vector,0,primary_model,1,0.05,0.1,0,,,,,
vector,0,primary_model,2,0.1,0.15000000000000002,0,,,,,
vector,0,primary_model,3,0.15000000000000002,0.2,0,,,,,
vector,0,primary_model,4,0.2,0.25,0,,,,,
vector,0,primary_model,5,0.25,0.30000000000000004,0,,,,,
vector,0,primary_model,6,0.30000000000000004,0.35000000000000003,0,,,,,
vector,0,primary_model,7,0.35000000000000003,0.4,0,,,,,
vector,0,primary_model,8,0.4,0.45,5,0.41200000000000003,0.281188553571701,0.13081144642829895,0.17092888379096985,0.19359684743961503
vector,0,primary_model,9,0.45,0.5,1,0.45,0.336410254240036,0.113589745759964,0.113589745759964,0.113589745759964
vector,0,primary_model,10,0.5,0.55,33,0.5,0.4813094475504124,0.01869055244958762,0.14514705516172177,0.1902860723343064
vector,0,primary_model,11,0.55,0.6000000000000001,26,0.5942307692307692,0.49498381179112655,0.09924695743964264,0.22730093694650208,0.26467996928396864
vector,0,primary_model,12,0.6000000000000001,0.65,0,,,,,
vector,0,primary_model,13,0.65,0.7000000000000001,55,0.6552727272727271,0.6100725835019892,0.045200143770738097,0.18113821051337506,0.23244399009732392
vector,0,primary_model,14,0.7000000000000001,0.75,23,0.7347826086956522,0.6311352667601212,0.10364734193553096,0.1662366889870685,0.2141663603142526
vector,0,primary_model,15,0.75,0.8,194,0.7521134020618555,0.6567229425784239,0.0953904594834318,0.19959627389907839,0.2539708727384227
vector,0,primary_model,16,0.8,0.8500000000000001,9,0.85,0.6785903937286801,0.1714096062713199,0.2594992525047726,0.3532684681967525
vector,0,primary_model,17,0.8500000000000001,0.9,12,0.8825000000000002,0.7223873995244503,0.16011260047554973,0.2267357370754083,0.34317245994407564
vector,0,primary_model,18,0.9,0.9500000000000001,90,0.9314444444444444,0.8427699140376514,0.08867453040679296,0.1388838994834158,0.20580550559370356
vector,0,primary_model,19,0.9500000000000001,1.0,0,,,,,
vector,1,expert_0:openai/gpt-oss-120b,0,0.0,0.05,412,0.0,0.3088553333067272,-0.3088553333067272,0.3088553333067272,0.38458232459631253
vector,1,expert_0:openai/gpt-oss-120b,1,0.05,0.1,0,,,,,
vector,1,expert_0:openai/gpt-oss-120b,2,0.1,0.15000000000000002,2,0.15,0.2142440229654312,-0.0642440229654312,0.2142440229654312,0.22366894255393407
vector,1,expert_0:openai/gpt-oss-120b,3,0.15000000000000002,0.2,0,,,,,
vector,1,expert_0:openai/gpt-oss-120b,4,0.2,0.25,10,0.21800000000000003,0.38013057634234426,-0.16213057634234432,0.18192429438233376,0.2528943540801551
