score_model,lambda,n,eval_mean_reward_mean,eval_mean_reward_std,eval_mean_cost_mean,eval_mean_cost_std,eval_mean_utility_mean,eval_mean_utility_std,eval_utility_minus_best_baseline_mean,eval_utility_minus_best_baseline_std,oracle_dynamic_utility_mean,oracle_dynamic_utility_std,oracle_dynamic_reward_mean,oracle_dynamic_reward_std,oracle_dynamic_cost_mean,oracle_dynamic_cost_std,eval_escalate_120b_mean,eval_escalate_120b_std,eval_mean_20b_rollouts_mean,eval_mean_20b_rollouts_std
raw_state_score,0.0,20,0.5499999999999998,0.02567567567567569,0.010196264045270268,0.003194325556115273,0.5499999999999998,0.02567567567567569,0.0020270270270270176,0.02573783372262284,0.5939189189189189,0.03065959812037414,0.5939189189189189,0.03065959812037414,0.00430379117027027,0.00036118814489450484,15.75,11.635613434623892,1.9304054054054056,0.2381706439951542
raw_state_score,1.0,20,0.5499999999999998,0.02567567567567569,0.00995703321689189,0.002287876766844592,0.5400429667831081,0.026416093905774374,0.00343281127094594,0.0263660998279408,0.5899621952168919,0.0306061088623025,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,17.55,12.897577291879278,1.7297297297297303,0.26014829731531114
raw_state_score,2.0,20,0.5513513513513513,0.02513658815910579,0.009521011331756755,0.0016771523269311513,0.5323093286878379,0.026020827406139736,0.007031159432432418,0.02537005057607863,0.5860054715148649,0.030558541738710508,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,14.6,5.834380858325929,1.7675675675675677,0.1991398596733908
raw_state_score,5.0,20,0.5466216216216215,0.02156876986420591,0.008972784620270268,0.002247569690229149,0.5017576985202703,0.02617263585441943,0.005767312935810784,0.026256682254906998,0.5741353004087839,0.030451633421140847,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,12.8,7.366138744281159,1.7500000000000004,0.20186764932782678
raw_state_score,10.0,20,0.5331081081081079,0.03267784402525335,0.006720027881756757,0.0018063428525671365,0.4659078292905406,0.03154270841518246,0.004924019182432427,0.024909619961227522,0.5543516818986486,0.030393811328240598,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,5.3,5.613376880274475,1.683108108108108,0.2525066084085577
raw_state_score,20.0,20,0.5094594594594595,0.032852015624711385,0.004431903253378378,0.0013940810306806175,0.42082139439189187,0.0327344153050062,-0.003228453675675691,0.017050116880809298,0.5147844448783783,0.03072978439436786,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,1.8,1.9390719429665317,1.314864864864865,0.3399420953570819
state_full,0.0,20,0.5391891891891892,0.028951736872471007,0.010768607586486487,0.0027066618871584057,0.5391891891891892,0.028951736872471007,-0.008783783783783791,0.022317762925559103,0.5939189189189189,0.03065959812037414,0.5939189189189189,0.03065959812037414,0.00430379117027027,0.00036118814489450484,14.8,8.059776671843954,2.0108108108108116,0.24502351521740925
state_full,1.0,20,0.5371621621621622,0.02862664887069575,0.01055878061554054,0.002337199501345794,0.5266033815466217,0.02964586102156842,-0.010006773965540536,0.024040357988911604,0.5899621952168919,0.0306061088623025,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,18.05,9.871550030263737,1.7486486486486483,0.27507220647100444
state_full,2.0,20,0.5371621621621622,0.02862664887069575,0.01055878061554054,0.002337199501345794,0.5160446009310811,0.0308089942853118,-0.009233568324324329,0.02441064097767202,0.5860054715148649,0.030558541738710508,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,18.05,9.871550030263737,1.7486486486486483,0.27507220647100444
state_full,5.0,20,0.5283783783783784,0.01953625985783914,0.008980925813513512,0.0029193971197441484,0.4834737493108109,0.025254495334984955,-0.01251663627364864,0.02129408423671534,0.5741353004087839,0.030451633421140847,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,11.6,10.584894897919394,1.7824324324324323,0.26877627617142574
state_full,10.0,20,0.5121621621621623,0.025958611773376414,0.006119507282432433,0.0018376098334037345,0.4509670893378379,0.026645888193543556,-0.010016720770270276,0.024233313626345072,0.5543516818986486,0.030393811328240598,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,3.45,6.651879433663844,1.602027027027027,0.24750305278827953
state_full,20.0,20,0.4939189189189189,0.030659598120374113,0.004477286929054055,0.0011230717557250635,0.4043731803378378,0.033736698781948106,-0.01967666772972974,0.012553718900287227,0.5147844448783783,0.03072978439436786,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,0.8,1.0295630140987,1.3155405405405403,0.32621282942329327
state_score,0.0,20,0.5499999999999998,0.02567567567567569,0.010196264045270268,0.003194325556115273,0.5499999999999998,0.02567567567567569,0.0020270270270270176,0.02573783372262284,0.5939189189189189,0.03065959812037414,0.5939189189189189,0.03065959812037414,0.00430379117027027,0.00036118814489450484,15.75,11.635613434623892,1.9304054054054056,0.2381706439951542
state_score,1.0,20,0.5499999999999998,0.02567567567567569,0.00995703321689189,0.002287876766844592,0.5400429667831081,0.026416093905774374,0.00343281127094594,0.0263660998279408,0.5899621952168919,0.0306061088623025,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,17.55,12.897577291879278,1.7297297297297303,0.26014829731531114
state_score,2.0,20,0.5513513513513513,0.02513658815910579,0.009521011331756755,0.0016771523269311513,0.5323093286878379,0.026020827406139736,0.007031159432432418,0.02537005057607863,0.5860054715148649,0.030558541738710508,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,14.6,5.834380858325929,1.7675675675675677,0.1991398596733908
state_score,5.0,20,0.5466216216216215,0.02156876986420591,0.008972784620270268,0.002247569690229149,0.5017576985202703,0.02617263585441943,0.005767312935810784,0.026256682254906998,0.5741353004087839,0.030451633421140847,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,12.8,7.366138744281159,1.7500000000000004,0.20186764932782678
state_score,10.0,20,0.5331081081081079,0.03267784402525335,0.006720027881756757,0.0018063428525671365,0.4659078292905406,0.03154270841518246,0.004924019182432427,0.024909619961227522,0.5543516818986486,0.030393811328240598,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,5.3,5.613376880274475,1.683108108108108,0.2525066084085577
state_score,20.0,20,0.5094594594594595,0.032852015624711385,0.004431903253378378,0.0013940810306806175,0.42082139439189187,0.0327344153050062,-0.003228453675675691,0.017050116880809298,0.5147844448783783,0.03072978439436786,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,1.8,1.9390719429665317,1.314864864864865,0.3399420953570819
state_score_n,0.0,20,0.5574324324324325,0.02664424885558157,0.009557103293918918,0.0017532713199873706,0.5574324324324325,0.02664424885558157,0.009459459459459457,0.021831749218112845,0.5939189189189189,0.03065959812037414,0.5939189189189189,0.03065959812037414,0.00430379117027027,0.00036118814489450484,12.35,4.682680856090879,1.9391891891891888,0.19161094774525894
state_score_n,1.0,20,0.5574324324324325,0.02664424885558157,0.009660569568243243,0.001806945771053022,0.5477718628641892,0.026663088245584107,0.011161707352027017,0.021075336257598613,0.5899621952168919,0.0306061088623025,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,14.45,5.826448317800477,1.825,0.18926036305990246
state_score_n,2.0,20,0.5574324324324325,0.02664424885558157,0.009660569568243243,0.001806945771053022,0.5381112932959461,0.026804004524408384,0.01283312404054054,0.020985124952920868,0.5860054715148649,0.030558541738710508,0.5939189189189189,0.03065959812037414,0.0039567237020270265,0.00042873693399222285,14.45,5.826448317800477,1.825,0.18926036305990246
