route,model,n,auc_mean,auc_std,pearson_mean,pearson_std,brier_mean,brier_std,nll_mean,nll_std,ece_mean,ece_std,mean_pred_mean,mean_pred_std,positive_rate_mean,positive_rate_std
OSS-120B,global,20,0.7761926089878635,0.03473028901785085,0.4712489598019677,0.06202290891856487,0.20483428348252297,0.007294558779084767,0.6000958084147052,0.015309858035587954,0.12218042374496554,0.03769668219561889,0.5171537977036216,0.03274311244937838,0.5358108108108108,0.03317698296538085
OSS-120B,global_len,20,0.7812367513904014,0.035430603393619725,0.48700287495116773,0.062435174974530265,0.20087561404518733,0.0077335195560130675,0.5914993045928372,0.01627964142040523,0.12361515513617813,0.02689088259910686,0.5148529051239441,0.033249494725495876,0.5358108108108108,0.03317698296538085
OSS-120B,raw_score,20,0.7761926089878635,0.03473028901785085,0.46619162150955223,0.06253647307557518,0.20757595199464482,0.01974845665408825,0.6463113389180989,0.058880374737647075,0.1843274285135841,0.030865843271219884,0.4526850078280109,0.02475245680662375,0.5358108108108108,0.03317698296538085
OSS-120B,route_intercept,20,0.7761926089878635,0.03473028901785085,0.4716322148029214,0.062057603418226144,0.20558217350761895,0.008412397359019365,0.6015688413678631,0.017927380840183842,0.1198347000966059,0.03634121209479654,0.5293914217514979,0.035271435879593194,0.5358108108108108,0.03317698296538085
OSS-120B,route_intercept_len,20,0.7812005590288413,0.035453558085409176,0.4878366403597723,0.06252159595284204,0.20145587517575453,0.008669252441583617,0.5926653451716222,0.018633733116253087,0.12263800101301495,0.035611634603904506,0.5308955292796526,0.03523364360227622,0.5358108108108108,0.03317698296538085
OSS-20B,global,20,0.8130252587456492,0.023603432925914453,0.5307730856176114,0.04476035907487721,0.19487951600019407,0.005552602134713836,0.5782915326487514,0.011621470590701585,0.12021384997463817,0.0275821384492059,0.4933209493077456,0.032284060193308005,0.4797297297297297,0.025817531316949728
OSS-20B,global_len,20,0.8242185138962006,0.024032149555048246,0.5488332331771998,0.04601447886017775,0.18930209963853595,0.005934120369059076,0.5656213518670515,0.012252335129385538,0.12214364270807485,0.02480136291061679,0.4849706477320411,0.03290500504786445,0.4797297297297297,0.025817531316949728
OSS-20B,raw_score,20,0.8130252587456492,0.023603432925914453,0.5296249106036349,0.045026685613390786,0.18965129146203968,0.015881610854045197,0.5800154063549223,0.049478369679052336,0.11729699220038478,0.02508997073368038,0.40312969782767266,0.02744922455612004,0.4797297297297297,0.025817531316949728
OSS-20B,route_intercept,20,0.8130252587456492,0.023603432925914453,0.5305222181375797,0.044868277659341274,0.19499184457804344,0.0058578823766870436,0.5785168697456817,0.012180591956916996,0.1205450647918493,0.027106917251065,0.48938411002612076,0.03364266405236687,0.4797297297297297,0.025817531316949728
OSS-20B,route_intercept_len,20,0.8243164193909516,0.02411646807017656,0.5485731144399988,0.04620883346917363,0.1895162613362407,0.006384279665209465,0.566012825604446,0.013063041881033695,0.11848068709906023,0.023243117572934877,0.4796457831194563,0.03451994402601029,0.4797297297297297,0.025817531316949728
